Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
42248,0.522353,0.222422,0.577568,0.472466
Rrn3,0.100882,-1.400278,0.57732,0.472357
2410002I01Rik,0.063235,-2.456799,0.577055,0.47223
Zfp207,0.315,-1.013612,0.576869,0.472182
Zdhhc7,0.108529,-0.753,0.576663,0.472114
Glud1,0.234118,0.231511,0.576133,0.471723
Etfa,0.063529,-0.835463,0.575984,0.471712
Hist1h2bc,0.133824,0.716485,0.57574,0.471606
Zmiz2,0.053824,0.349685,0.57561,0.471614
Cbr4,0.053824,0.123617,0.575389,0.471532
Sgcb,0.033235,0.535345,0.575388,0.471669
P2ry2,0.002647,2.362477,0.575061,0.471479
Siglec1,0.001176,4.689943,0.575061,0.471617
Ube2g1,0.082059,0.215635,0.574822,0.471517
Atg2b,0.035882,0.530581,0.574776,0.471608
Xylt2,0.017941,0.601664,0.574648,0.471619
Snx7,0.01,-0.448146,0.574574,0.471682
Trps1,0.016471,-1.274953,0.574574,0.47182
Tnks2,0.220588,-0.187403,0.574466,0.471849
Hk2,0.362647,-0.24617,0.574318,0.471839
1810020D17Rik,0.044118,0.094997,0.574164,0.471822
Parl,0.029412,0.773068,0.573773,0.471569
Tor1aip2,0.140588,0.03962,0.57369,0.471624
Bcas3,0.037353,-1.764405,0.573666,0.471737
Mical2,0.001471,2.831962,0.57347,0.471679
Eif4h,0.356765,0.11116,0.573462,0.471809
Prpf38b,0.277059,-0.617169,0.573456,0.47194
0610009B22Rik,0.068235,0.400246,0.573366,0.471987
Zmat1,0.035882,-1.454919,0.572987,0.471746
A230046K03Rik,0.243529,-0.878531,0.572506,0.471402
Bnip3,0.060294,-0.161017,0.571964,0.470996
2700023E23Rik,0.000882,2.416925,0.571879,0.471049
Rabl3,0.002353,1.831962,0.571879,0.471186
Vbp1,0.083235,0.17112,0.571331,0.470775
Nfya,0.182353,0.023443,0.571202,0.470783
Casp6,0.052059,-1.278091,0.570958,0.470676
Gemin5,0.050588,-0.290522,0.570496,0.470351
Dbt,0.064118,-0.913854,0.570399,0.470391
Dynll2,0.176471,-1.083974,0.570149,0.470277
Thumpd3,0.123235,-1.058665,0.5699,0.470166
Sf3b2,0.266765,0.064995,0.569785,0.470188
Rrp1,0.111471,0.820497,0.569584,0.470123
Hnrpdl,0.138529,0.176381,0.569367,0.470042
Zfp654,0.036471,0.507122,0.569358,0.47017
Zfp385a,0.193824,-0.362248,0.569123,0.470072
Ppt2,0.128824,-0.782954,0.568885,0.469971
Ddb1,0.178824,-0.557984,0.568733,0.469955
Nes,0.013529,-2.106637,0.568705,0.470064
Endog,0.004706,0.738853,0.568704,0.470199
Gpr114,0.015588,-0.989068,0.568704,0.470335
Gys1,0.011765,0.368015,0.568704,0.470472
Wdr62,0.013824,-0.815736,0.568704,0.470608
Als2,0.022941,0.775379,0.56796,0.470001
Msn,0.529118,-0.183356,0.567853,0.470029
Impact,0.048824,0.363813,0.567707,0.47002
Usp6nl,0.036765,-1.433382,0.567581,0.47003
Clstn1,0.208529,-0.14984,0.566937,0.469522
Ndufb8,0.201176,-0.00469,0.566854,0.469575
Ralgapa1,0.020294,1.247,0.566478,0.469335
Pvrl2,0.063529,-0.814401,0.56615,0.469143
Inpp5k,0.059412,0.477531,0.566147,0.469276
Slc35b3,0.015588,0.689004,0.565739,0.469004
Snx9,0.092353,-0.24349,0.565282,0.468682
4921524J17Rik,0.026471,0.64389,0.564998,0.468534
Copb1,0.179118,-0.15155,0.564327,0.467999
Grhpr,0.025588,1.389019,0.564259,0.468067
Fam49a,0.046176,-1.555768,0.564213,0.468156
Wdr18,0.048235,-1.316137,0.564213,0.468292
4933407C03Rik,0.239412,-0.814555,0.564083,0.468298
Atp6v1e1,0.148529,0.273887,0.563761,0.468111
Rbm17,0.126471,-0.726406,0.562852,0.467337
Dbr1,0.045588,-0.335638,0.562585,0.467206
8430406I07Rik,0.057059,-0.501164,0.562092,0.466848
Cul1,0.197059,-0.261434,0.562088,0.466979
Tomm22,0.164412,-1.00934,0.561987,0.467014
Ssbp2,0.049412,-0.702374,0.56198,0.467142
Foxo1,0.130588,-1.377491,0.561822,0.46712
Jund,0.121176,-0.514688,0.561732,0.467165
Twf1,0.090882,-0.496986,0.561248,0.466816
Zcchc10,0.010588,0.416925,0.559832,0.465535
AC141469.5,0.052059,-0.465718,0.559023,0.464861
Stt3a,0.212941,-0.841335,0.558879,0.464852
Ankrd46,0.06,-0.182252,0.558511,0.464619
Plagl2,0.131471,-1.342812,0.558442,0.464685
Ric8b,0.063824,-1.885195,0.558172,0.464549
Glg1,0.243529,-0.642356,0.55775,0.464263
Jdp2,0.050588,-1.10245,0.556833,0.46348
Zadh2,0.058824,-1.288332,0.556833,0.463615
Zzef1,0.098529,-0.855615,0.556412,0.463329
Strn4,0.039706,0.549562,0.556287,0.463339
Ndufa10,0.13,0.673416,0.556009,0.463195
Mllt6,0.058529,-0.482734,0.555451,0.462772
Dmtf1,0.077647,-0.418016,0.555254,0.46271
Prrc2a,0.062647,-0.348159,0.554942,0.462532
Hdac5,0.082059,-0.102335,0.554862,0.462587
Mib1,0.115882,-0.551685,0.554676,0.462535
Commd3,0.091765,0.093454,0.554646,0.462639
Ivd,0.055294,-1.815736,0.554565,0.462692
Plxdc1,0.234412,-0.392846,0.554282,0.462544
Per1,0.073824,-0.782029,0.55428,0.462676
Cbl,0.124412,-0.859129,0.554266,0.462797
Spcs3,0.216471,-0.434212,0.554102,0.462767
Slc12a9,0.159118,-0.716141,0.554012,0.462811
Ncf2,0.451471,-0.355456,0.553619,0.462552
Sppl3,0.252353,-0.38149,0.553193,0.46226
Nmt2,0.042941,-1.07246,0.552825,0.462026
A830080D01Rik,0.054118,-4.6916,0.552663,0.461998
Mtm1,0.044118,-4.811894,0.552663,0.462132
Itfg1,0.168824,0.055072,0.55252,0.462123
Map4k4,0.199118,-0.611048,0.551949,0.461685
Slc33a1,0.056471,-0.583075,0.551147,0.461018
Trrap,0.056471,-0.183145,0.549859,0.459864
Ctbp1,0.14,-0.547156,0.549826,0.459964
Cyb5,0.234118,-0.566258,0.549785,0.460056
Frs2,0.049412,-0.560355,0.549492,0.459897
Arl10,0.037059,-3.337963,0.549212,0.459751
Naip2,0.147353,0.067866,0.548814,0.459486
AI848100,0.075,0.353309,0.548349,0.459155
Hspa4,0.192353,-0.061753,0.548199,0.459138
Usp42,0.035588,-0.801499,0.548162,0.459235
Man2c1,0.047353,-0.123915,0.548047,0.459253
Gm12942,0.082941,-0.12768,0.547999,0.459339
Ino80d,0.124706,-0.829869,0.547904,0.459377
Zfp120,0.097059,0.123851,0.546815,0.458421
Zfp800,0.057647,-1.573294,0.546563,0.458302
Gtf3c2,0.103235,-0.612138,0.546224,0.458097
Hdac2,0.064706,0.250275,0.545928,0.457934
Slamf1,0.030882,-2.181844,0.545769,0.457908
D830025C05Rik,0.033824,-2.313088,0.545768,0.458041
Top1,0.325588,-0.905438,0.545623,0.458028
Prmt7,0.050588,-1.640106,0.544106,0.456644
3110057O12Rik,0.033824,-2.428565,0.544051,0.456722
Gpd1,0.02,-1.933573,0.544051,0.456855
Tspan33,0.086765,-0.502244,0.543841,0.456778
2310004N24Rik,0.104118,-0.753,0.543712,0.456782
Azi2,0.074118,-0.403851,0.543614,0.456816
Clec16a,0.022647,-1.734385,0.543193,0.456529
Bop1,0.031176,-1.141071,0.542881,0.456349
Ndufa11,0.098235,0.040715,0.542767,0.456368
Tdrd3,0.024118,-2.066158,0.542336,0.456069
Zfp295,0.066765,-1.637034,0.542268,0.456133
2310021P13Rik,0.045294,0.80358,0.542025,0.456023
Fig4,0.048824,-1.78819,0.541341,0.455472
Snapc5,0.095588,-0.770867,0.541291,0.455554
Ttll12,0.016471,-1.653465,0.540622,0.455018
1700081L11Rik,0.125882,-0.73958,0.540475,0.455003
Tm9sf2,0.362941,-0.31046,0.540442,0.455103
Ccdc71,0.066471,-2.233329,0.540195,0.454988
Vdac1,0.096471,0.17485,0.539023,0.453948
Ktn1,0.207647,-1.247858,0.538149,0.453206
Kif20b,0.002353,NaN,0.537649,0.452839
Plxna1,0.006471,NaN,0.537649,0.452971
Ankrd54,0.01,NaN,0.537648,0.453102
Cdc25b,0.013824,NaN,0.537648,0.453234
Fam181b,0.002059,NaN,0.537648,0.453366
Gm13241,0.003235,NaN,0.537648,0.453498
Gm9888,0.017647,NaN,0.537648,0.45363
Hip1,0.009706,NaN,0.537648,0.453762
Lck,0.004412,NaN,0.537648,0.453893
Pms1,0.007059,NaN,0.537648,0.454025
S100g,0.010882,NaN,0.537648,0.454157
Sgip1,0.025588,NaN,0.537648,0.454289
Zfp772,0.010294,NaN,0.537648,0.45442
Engase,0.062647,-1.069857,0.53738,0.454284
Nif3l1,0.05,-1.117997,0.53738,0.454416
Zfp60,0.016176,-1.62747,0.537201,0.454369
2900053A13Rik,0.089706,0.373713,0.536846,0.454145
Anapc13,0.124118,-0.068958,0.536609,0.45404
Alg6,0.023529,-1.905003,0.536348,0.45391
2810021J22Rik,0.015,-1.381032,0.536347,0.45404
Layn,0.033824,-1.369672,0.536347,0.454171
BC003331,0.083824,-0.636355,0.536306,0.454262
Arid5a,0.046471,-1.517622,0.536162,0.45425
G6pdx,0.088235,0.180572,0.535774,0.453992
Acad11,0.019706,-1.064202,0.535494,0.453844
Mesdc2,0.136176,0.043183,0.5354,0.453882
Nup160,0.057353,-1.45344,0.534944,0.453556
Fbxl14,0.134412,-0.56946,0.534926,0.453669
Sf3b4,0.066471,-0.630665,0.534541,0.453415
Arl6ip4,0.113529,-0.620944,0.534257,0.453262
Fut11,0.095,-0.384487,0.534,0.453137
Pcmtd1,0.099118,-0.466611,0.533981,0.453248
Nupl1,0.024118,-0.396307,0.533788,0.453186
Zfp40,0.014412,-0.138892,0.532085,0.451614
Gatad1,0.079118,-1.432145,0.53201,0.45167
Alg2,0.047941,-0.539486,0.531879,0.4518
Smek2,0.140588,-0.593171,0.531879,0.45167
Tmem127,0.148529,-0.114754,0.531789,0.451841
Morc2a,0.045588,-0.215344,0.531346,0.451529
Med4,0.058529,-1.482734,0.531296,0.45161
Ubiad1,0.038529,-1.879533,0.531235,0.451679
Cyc1,0.177059,-1.172839,0.530797,0.451372
Rnf25,0.025294,-0.50684,0.530386,0.451091
Zdhhc3,0.048529,0.553103,0.530206,0.451041
Klhdc10,0.064118,0.571572,0.529619,0.450585
Zfp932,0.016471,0.51646,0.529536,0.450632
Wrnip1,0.027353,0.752235,0.529204,0.450431
Nos1ap,0.025294,-0.10245,0.528687,0.450044
Hexb,23.950294,-0.03599,0.528442,0.449929
Nrd1,0.076765,0.230321,0.528219,0.449836
Fam120b,0.070588,-1.827001,0.528133,0.449881
Cxx1c,0.006176,1.725047,0.527939,0.449818
Eif2s2,0.250588,-0.379186,0.527651,0.449659
Ipo9,0.083529,-0.497606,0.527572,0.44971
Rbm15,0.053235,-1.419956,0.527117,0.449385
4930471M23Rik,0.108235,-0.434212,0.527089,0.449488
Ints1,0.031176,0.273967,0.526722,0.449251
Hras1,0.060294,0.250514,0.526206,0.448864
Tor1aip1,0.458235,-0.316137,0.526112,0.4489
Pcyox1,0.172353,-0.39701,0.526024,0.448942
Wbp11,0.141176,-0.615497,0.525969,0.449017
Nhlrc2,0.051471,-1.095687,0.525845,0.449023
Hsp90ab1,1.246176,-0.054474,0.525446,0.448753
Cep152,0.046176,-1.333376,0.524856,0.448293
Srpk1,0.068529,0.147685,0.524262,0.447829
Ap1g1,0.072941,-0.952309,0.523806,0.447502
Kpna4,0.112353,-0.756782,0.522914,0.44674
Ndufv2,0.148235,-0.005766,0.522806,0.446761
Smn1,0.025,0.444939,0.52239,0.446475
Psmd14,0.103529,-0.899549,0.522304,0.446518
Rpn1,0.381765,-0.250369,0.522251,0.446595
Lrrfip1,0.138529,-0.164978,0.522145,0.446618
Strada,0.032353,0.240427,0.521772,0.446375
Cast,0.009706,1.07297,0.521749,0.446481
Polr2i,0.051765,-0.673273,0.521742,0.446604
Tmem176b,1.451471,-0.18539,0.521445,0.446435
Arfgef2,0.037941,0.786519,0.520881,0.446
Mdh2,0.130294,0.090648,0.52065,0.445899
Gpr172b,0.028529,0.53583,0.520144,0.445522
Crebbp,0.194412,-0.921835,0.519798,0.445305
Tada3,0.093235,-1.775937,0.519676,0.445312
Chpf2,0.034118,0.481776,0.519035,0.4448
Ninj1,0.125588,-0.648742,0.518185,0.444079
Matr3,0.216765,-0.665653,0.518117,0.444139
D730040F13Rik,0.215882,-0.648755,0.517398,0.44355
Sri,0.134118,-0.279829,0.517374,0.443655
Pygb,0.058235,-0.914751,0.516436,0.442845
Carhsp1,0.040588,-1.276562,0.516411,0.442949
Cd300ld,0.010882,1.644877,0.516355,0.443022
Ttc32,0.037647,-0.285395,0.51621,0.443006
Zfp26,0.058235,-1.124969,0.515849,0.442773
Fam111a,0.194706,-0.383907,0.515775,0.442828
Wdr91,0.010588,1.185599,0.515587,0.442769
Tmem68,0.086471,-1.138892,0.515232,0.442542
Actr2,0.841765,-0.314339,0.514741,0.44218
Fuca2,0.252059,0.263736,0.514011,0.441578
Prex1,0.332941,-0.584776,0.51386,0.441556
Gm6563,0.037353,-0.764405,0.513609,0.441433
Myo9b,0.080294,1.270586,0.51347,0.441422
Terf2ip,0.080294,-1.45344,0.513437,0.441518
Arfgef1,0.134118,-0.364303,0.51309,0.441299
E2f6,0.024412,0.100779,0.512517,0.440854
Tbc1d22a,0.119118,-0.710875,0.512118,0.440584
Ube2j1,0.254412,-0.295238,0.511003,0.439596
Nf1,0.134706,0.162683,0.510933,0.439655
Jam3,0.081471,-1.855515,0.510832,0.439682
Prkag1,0.071176,-0.216536,0.510613,0.439591
Derl1,0.438529,0.069617,0.509641,0.438747
Rasa3,0.159706,-0.376329,0.509605,0.438839
Pcmt1,0.145588,-0.113698,0.509434,0.438795
Fbxo11,0.134706,-0.703461,0.509277,0.438767
Tnfrsf17,0.065294,-1.347744,0.507993,0.437611
Trappc4,0.065294,0.275951,0.507796,0.437542
D15Ertd621e,0.397353,-0.556623,0.506555,0.436428
Stx2,0.110588,-0.941267,0.506108,0.436109
Uba3,0.042941,-0.743153,0.505792,0.435921
BC031181,0.209706,-0.170063,0.505467,0.435724
Hp1bp3,0.299706,-0.843564,0.505363,0.435747
Mef2d,0.115882,0.472005,0.505164,0.435676
Tmem37,0.271176,-0.641621,0.505029,0.435668
Actn1,0.061471,-0.62747,0.504678,0.435444
Psma2,0.198529,-0.078942,0.504605,0.435499
Med16,0.057353,-0.821172,0.504317,0.435338
St3gal3,0.066176,-0.832072,0.504316,0.435465
Hps4,0.306176,-0.591879,0.504175,0.435451
3830403N18Rik,0.013235,0.799541,0.504114,0.435518
Sel1l,0.260294,0.113891,0.503644,0.435175
1300014I06Rik,0.061765,-1.154363,0.502799,0.434458
Setdb1,0.082353,-1.087868,0.501997,0.433783
Rassf2,0.277941,-0.548383,0.501432,0.433345
Usp8,0.291765,-0.53352,0.500907,0.432947
Sphk2,0.061471,0.243544,0.500821,0.432988
Sipa1l2,0.156176,0.38302,0.500719,0.433013
Prmt2,0.020882,-1.995857,0.500382,0.432803
Orc5,0.039118,-2.522881,0.50038,0.433055
Sp4,0.033529,-2.541496,0.50038,0.432928
Rras2,0.054118,0.64825,0.500236,0.433038
Wdr37,0.079118,-0.296986,0.500133,0.433062
Taf12,0.053235,-0.62349,0.500129,0.433184
Apip,0.046471,-0.638929,0.499684,0.432866
Pip4k2b,0.138529,-0.368141,0.499654,0.432964
Eif3l,0.145588,-0.280119,0.499624,0.43306
Pigk,0.145882,0.553723,0.499125,0.432688
Tmem5,0.129412,-1.425836,0.498752,0.432441
Ankrd57,0.225588,-0.132735,0.497754,0.43157
Zmym3,0.047059,-0.817541,0.497519,0.431462
Slc9a6,0.048235,0.229298,0.49747,0.431539
Stat2,0.030588,0.15389,0.497152,0.431348
Mtor,0.055588,-1.057855,0.496896,0.431218
Ilf2,0.057941,-0.81281,0.496475,0.430923
Rg9mtd2,0.038529,0.383502,0.496399,0.430974
Copz1,0.133824,0.068329,0.496276,0.430977
Gm10110,0.010294,-3.297321,0.496095,0.430923
Gm5918,0.017647,-3.489966,0.496094,0.431049
Lsm11,0.01,-4.255501,0.496094,0.431175
Znrd1,0.048824,0.565447,0.49602,0.431227
Lrp12,0.068529,-0.290757,0.495409,0.430742
Ccdc58,0.028529,-2.067511,0.495281,0.43074
Msh3,0.031471,-1.822042,0.495279,0.430864
Spg21,0.134118,-0.841057,0.495143,0.430854
Tradd,0.015882,-0.11557,0.495007,0.430844
Slc25a11,0.207353,-0.552702,0.494968,0.430932
Psmb1,0.341176,0.187328,0.494217,0.430307
Arhgap19,0.02,-3.255501,0.493968,0.430183
Nars2,0.023235,-3.886856,0.493968,0.430309
Rasgrp4,0.020588,-3.712358,0.493968,0.430435
AI987944,0.086765,-3.124682,0.493825,0.430544
Chd3,0.071176,-2.132705,0.493825,0.430669
Tmem80,0.021471,-1.657423,0.493825,0.430418
9030625A04Rik,0.11,0.012988,0.493492,0.430462
Ncor1,0.245882,-0.249688,0.493491,0.430587
Stat1,0.161471,0.057729,0.493286,0.430507
Zbtb34,0.035588,0.270651,0.493055,0.430402
Cpsf3l,0.053235,-0.939963,0.493054,0.430526
Hmgcr,0.047941,-0.024913,0.492942,0.43054
Lztr1,0.034706,0.139144,0.492855,0.430578
Synrg,0.188824,-0.534465,0.492739,0.430588
Hk1,0.055882,-0.693499,0.492446,0.43042
Phf15,0.131471,-0.90608,0.492286,0.430386
Akap5,0.017647,-1.615497,0.491845,0.43007
Gbf1,0.118529,-0.693391,0.491448,0.429799
Larp1,0.143529,-0.370855,0.491427,0.429903
Tmx4,0.265,-1.088603,0.491282,0.429883
Vps4b,0.248235,-0.744479,0.491234,0.42996
Anks1,0.108529,-1.095602,0.491042,0.429894
Cmklr1,0.266176,-0.474112,0.490744,0.429721
Ino80e,0.092647,-0.739325,0.489884,0.428986
Ubr5,0.131176,-0.892122,0.489743,0.42897
Sfxn2,0.009706,-1.62747,0.489727,0.429078
Sike1,0.018235,2.057675,0.489651,0.429127
Qdpr,0.082353,-0.697408,0.48943,0.429032
Mtap,0.054706,0.087219,0.489367,0.429093
Srsf1,0.212059,-0.673209,0.488825,0.428676
Espl1,0.022941,-1.365977,0.488752,0.428729
Pak1ip1,0.107059,-0.631438,0.488289,0.42839
Zfp62,0.207353,-0.415198,0.48771,0.427936
Ptger3,0.009706,-0.890504,0.487612,0.427963
Afap1,0.012647,-0.687412,0.487611,0.428211
Mgmt,0.009118,-1.122234,0.487611,0.428086
Srd5a3,0.158235,-0.314688,0.487526,0.42825
Cables1,0.382059,-0.341299,0.486393,0.427243
Phf12,0.168824,-0.966623,0.486251,0.427225
Capza1,0.147059,-0.51177,0.486211,0.427309
Srcap,0.032941,-1.515961,0.48586,0.427083
Slc37a2,0.19,0.051161,0.485785,0.427132
Shprh,0.097941,-0.833171,0.485559,0.427031
Taf5,0.010882,0.014826,0.485499,0.427095
Zfp956,0.010294,-0.049393,0.485499,0.427219
Esco1,0.082941,-0.60715,0.485496,0.42734
Etaa1,0.039412,-1.376146,0.485138,0.427108
Lasp1,0.282059,-0.12214,0.484855,0.426948
Ehmt1,0.069412,-0.765279,0.484578,0.426796
Lats2,0.080882,-0.101401,0.48441,0.426751
Clint1,0.220294,0.549927,0.4843,0.426766
Gtf2ird2,0.027353,-1.063341,0.483697,0.426287
Ube2b,0.243235,0.035036,0.483171,0.425885
Kdm5b,0.074118,-0.955493,0.483157,0.425996
Smpd1,0.092353,-0.970806,0.482811,0.425773
Rcc2,0.108235,0.14129,0.482185,0.425271
Arl8a,0.127647,-0.040846,0.482024,0.425234
Psmc4,0.092941,-0.045554,0.481911,0.425245
Las1l,0.019412,-0.168038,0.481538,0.424995
Tmod3,0.122941,-0.535547,0.480971,0.424552
Nup205,0.021176,1.97492,0.480723,0.424428
Myo1c,0.092941,-0.416536,0.480669,0.424498
Lass2,0.271765,-0.496225,0.480487,0.42444
Ddx58,0.072059,-0.519713,0.480357,0.424433
Klf6,0.343235,-0.414112,0.479625,0.423826
Ppm1h,0.130294,0.389527,0.479032,0.423356
Suz12,0.118529,-0.593855,0.478977,0.423424
Baz1b,0.178824,-0.256094,0.478952,0.423523
2810006K23Rik,0.054118,-0.406198,0.478711,0.423405
Xaf1,0.026471,1.588037,0.478496,0.423314
Trappc1,0.090882,-0.996557,0.477959,0.4229
5930416I19Rik,0.035,-0.132118,0.477857,0.422921
Numa1,0.254706,-0.551222,0.477726,0.422914
Pde12,0.016765,0.726993,0.477633,0.422944
Tspan3,0.347353,-0.332172,0.477448,0.422883
Nrp2,0.084118,-0.272627,0.477207,0.422765
Cd99l2,0.039118,1.202944,0.476373,0.422054
Cul2,0.061176,-0.409046,0.47529,0.421094
Emg1,0.078529,-0.206366,0.47513,0.421057
Kctd12b,0.03,-1.033108,0.475081,0.421132
Qsox2,0.024118,-0.240188,0.475081,0.421255
Zfp105,0.032353,-0.861935,0.474367,0.420664
Spna2,0.048529,-0.142043,0.473844,0.420263
Phka2,0.020588,0.892504,0.473235,0.419778
Ctnna1,0.115882,0.681586,0.472949,0.419614
Lcp1,0.935882,-0.362887,0.472504,0.419293
Pisd,0.205882,-0.773759,0.471892,0.418804
Psmb8,0.277059,0.079083,0.47112,0.418154
Usp33,0.062353,-0.66714,0.471105,0.418262
Wbp4,0.116176,-0.208784,0.470668,0.417948
Trappc2,0.037059,-0.560355,0.470179,0.417582
Tsfm,0.025882,0.34981,0.470104,0.417629
H3f3b,0.922941,-0.324236,0.470047,0.417695
Scaf11,0.328235,0.125693,0.469776,0.417547
Dnlz,0.061176,-0.759953,0.469214,0.417107
Ctdspl2,0.066176,-0.538876,0.469213,0.417228
Ppp2r1b,0.073824,-0.663848,0.468753,0.416892
Lrch4,0.165294,-0.989581,0.46854,0.4168
Ppapdc2,0.095294,-0.893178,0.468222,0.416605
Rabggtb,0.072647,0.187376,0.468124,0.41663
Abhd2,0.05,-0.367975,0.468094,0.416722
Dtymk,0.022353,0.198744,0.46698,0.41573
Emp3,0.097647,0.178022,0.466367,0.41524
Tbc1d9b,0.126176,-0.26182,0.466262,0.415256
Cacybp,0.204118,0.326861,0.465657,0.414774
Gmfg,0.105588,-0.352097,0.464801,0.41404
Mapk7,0.045,-1.965994,0.464733,0.414095
Ubn2,0.164118,-0.89128,0.463894,0.413378
Papss1,0.123824,-0.426283,0.462854,0.412459
Amotl1,0.054118,-1.884245,0.462812,0.412539
Nsun2,0.091176,-0.215344,0.462703,0.412553
Rps6ka5,0.053235,-1.667884,0.462171,0.412143
D19Ertd737e,0.021471,0.2271,0.462,0.412094
Mapre1,0.354118,-0.432991,0.461878,0.412094
1700123O20Rik,0.048824,-0.61234,0.461843,0.412181
2010003O02Rik,0.05,0.992427,0.461842,0.412301
Smg6,0.021765,0.48049,0.461378,0.411959
Mtch2,0.136765,-0.247765,0.461347,0.41205
Evi5,0.099118,-0.316715,0.461097,0.411922
Maml2,0.171765,-0.341054,0.460408,0.411355
Kti12,0.036176,-1.788624,0.460254,0.411323
Tmed4,0.099118,-0.088909,0.459622,0.410812
Ap4s1,0.033235,-1.528785,0.459614,0.410926
Minpp1,0.053824,-1.039882,0.459357,0.41079
Tprn,0.01,1.102051,0.459328,0.410883
Nr1h2,0.100588,-1.062328,0.45882,0.410496
B3gnt2,0.095882,-0.024913,0.458765,0.410563
Brd1,0.097059,-1.489966,0.458705,0.410624
Rab6,0.117059,-0.654915,0.45814,0.410181
Ski,0.537353,-0.350454,0.457676,0.409838
Phlpp1,0.042941,0.017177,0.457539,0.409823
Tmem63a,0.266176,-0.601795,0.457445,0.40985
Safb2,0.126471,-0.416385,0.45641,0.408937
Pmpcb,0.074412,-0.507175,0.456385,0.409033
3110003A17Rik,0.157353,-1.041608,0.456084,0.408852
Papd5,0.057647,-0.259186,0.455589,0.4086
Pdcd5,0.066765,-0.379877,0.455589,0.408479
1810049H13Rik,0.032941,-1.117412,0.455154,0.408407
Prdm4,0.030294,-0.767076,0.455154,0.408286
Aff4,0.152647,-0.386729,0.454267,0.407641
Tgfbi,0.147647,-0.2816,0.453702,0.407197
Abce1,0.137353,-1.001894,0.453371,0.406987
Zfp790,0.05,-1.533035,0.453246,0.406983
Zfp770,0.067353,-0.64969,0.453245,0.407104
Rasa4,0.105,0.623645,0.453101,0.40708
2610036A22Rik,0.081765,0.297984,0.452985,0.407085
Inpp5a,0.038235,0.094997,0.452922,0.407264
Kif16b,0.011471,0.904112,0.452922,0.407143
Aggf1,0.057059,-0.08145,0.452236,0.406698
Stx6,0.046176,0.331757,0.452165,0.406748
Jmy,0.007059,0.947439,0.452124,0.406828
Mrpl44,0.039412,-2.426772,0.452086,0.406911
Tmem19,0.08,-0.448146,0.451754,0.406699
Lman2l,0.078529,-0.206366,0.451513,0.406579
Eif3c,0.437647,-0.195444,0.450415,0.405601
Mrpl18,0.064706,0.408154,0.44981,0.405117
AI607873,0.017647,0.539781,0.449732,0.405159
Vgll4,0.100588,-0.29127,0.449546,0.405094
Smarcd1,0.023529,0.182459,0.449367,0.405035
Naa40,0.064118,-0.029332,0.449342,0.40513
Eml3,0.067647,-0.155547,0.44933,0.405239
Tada2b,0.085882,-2.450972,0.449173,0.405202
Il1rl1,0.080294,-1.737233,0.448498,0.404648
Bid,0.087059,-0.446754,0.447346,0.403616
Ranbp6,0.030294,0.274745,0.447345,0.403735
C2cd2,0.070294,-0.396479,0.447236,0.403746
Inpp5b,0.032647,-1.570136,0.446843,0.403473
Cdyl,0.063235,-1.916231,0.446656,0.403406
Casp1,0.115,0.139801,0.445481,0.402352
Trafd1,0.152941,-0.496919,0.445435,0.402426
Myo18a,0.081765,-0.321195,0.445031,0.402142
Ptov1,0.145,0.490145,0.444506,0.401736
Tubb2a,0.240294,-0.712947,0.444449,0.4018
Gtpbp5,0.066765,-1.187231,0.444117,0.401587
Fcgr3,2.418235,0.191917,0.444047,0.401637
BC023719,0.023529,-0.735078,0.443759,0.401469
H2afj,0.126471,0.014507,0.443565,0.401395
Chmp5,0.100882,0.286414,0.443372,0.401322
Il10rb,0.366471,-0.431536,0.44314,0.401209
Nucb2,0.038824,0.906509,0.44296,0.401149
Zfp451,0.133529,-1.124222,0.442819,0.401128
Mctp1,0.034412,1.151422,0.442656,0.401084
Itpkb,0.103529,0.100451,0.442415,0.400963
Map2k3,0.100882,-1.567735,0.442339,0.401007
5730403B10Rik,0.077647,0.196959,0.44204,0.400828
Tbrg1,0.041765,0.236804,0.441978,0.400885
Chmp4b,0.172647,0.502024,0.441831,0.400858
Tnfsf10,0.029118,-0.939414,0.441794,0.40094
BC004004,0.184118,-0.096113,0.440942,0.400207
Mid1ip1,0.272059,-0.708464,0.440928,0.400312
Ceacam1,0.073529,-1.133822,0.440723,0.400227
Polb,0.053824,-1.825757,0.440625,0.400249
Tnfaip1,0.158529,-0.384198,0.440443,0.400185
Slc39a6,0.074706,-1.87132,0.440303,0.400165
Tex2,0.016765,-0.831003,0.440215,0.400196
Fam63b,0.264706,-0.243727,0.440169,0.400269
Calcrl,0.045,-1.255501,0.43989,0.400109
Efhd2,1.100588,0.144142,0.439099,0.399437
Ogt,0.074118,-0.111895,0.439095,0.399553
Capzb,0.507059,-0.104199,0.438828,0.399404
Mrps22,0.033235,-0.403254,0.438728,0.399424
Actn4,0.137059,0.081518,0.438669,0.399483
Sars,0.059706,0.13241,0.438202,0.399135
Cox15,0.048824,-0.498683,0.438155,0.399207
Abr,0.104706,-0.405367,0.437946,0.399118
Irf1,0.138235,-1.17419,0.43779,0.39908
Ap3m1,0.068824,0.37945,0.436656,0.398065
