,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
IIGP1,0.012220359,0.774517483,-0.092425265,0.410520268,0.046844047,0.644909219,3.623899621,0.01698104,-0.002789767,0.969557155
PLAUR,0.804212886,0.000103983,1.197495561,0.000102052,0.397673792,0.017028323,1.898277123,0.01698104,2.552352168,1.57E-09
TYROBP,0.140533548,0.318586812,0.626708401,0.009887943,0.06936856,0.313847398,1.672563452,0.01698104,-0.051917373,0.494779696
TPST2,-0.009178933,0.923345878,-0.614963982,2.80E-06,-0.073890181,0.763638407,-1.753150407,0.017147609,-0.314374249,0.026569811
AMOTL2,0.001642949,0.975987919,-0.009665091,0.985246938,0.001242753,0.992606617,-3.113980372,0.017413891,0.02246584,0.771623824
4930548H24RIK,0.017231156,0.944345983,0.024311356,0.887521444,0.032406022,0.867039821,-3.912886009,0.017425352,-0.196115889,0.123508137
CACNA1A,0.074912432,0.576791008,1.701845029,1.73E-08,0.082108002,0.777467944,2.036523928,0.017560058,0.040268412,0.630919366
GM2A,0.193989013,0.000173968,0.558212368,5.48E-05,0.269134369,0.03561258,1.633260014,0.017560058,-0.463647633,0.011734268
NKX2-3,-0.063816111,0.6092977,-0.009010341,0.984609982,0.063514574,0.708760755,9.525008295,0.017560058,-0.048303437,0.588246683
EPN2,-0.242388557,0.030021561,-0.726846196,2.26E-07,-0.496948173,0.000896191,-2.042773291,0.017691969,-0.10975441,0.551282739
PTPRO,0.147981672,0.060462433,0.022360947,0.855251787,-0.160177996,0.303953645,-1.257798898,0.017845775,-0.774606073,0.002401089
EEF1A1,0.163570523,0.05073391,0.224733919,0.013228132,0.389283079,8.05E-09,1.391681823,0.018550135,0.126892831,0.055791224
HTR2B,-0.218812273,0.313546881,0.133615164,0.129479,0.011095406,0.961078804,1.985420731,0.018550135,0.085339002,0.78260848
PDGFA,0.284538891,1.18E-07,0.057152263,0.816136578,0.673412695,0.000706927,1.908613778,0.018881576,0.915542394,0.003877923
SOD1,0.020096349,0.928476417,0.088162407,0.409249698,0.223522981,0.011739735,1.459191361,0.018881576,-0.438855487,4.51E-05
TMSB10,0.155556252,0.776455919,0.389905174,0.081128182,0.335115935,0.069558256,2.09153891,0.018881576,-0.274848852,0.139654835
IVNS1ABP,-0.150551312,0.451282898,-0.936344562,0.00031793,-0.284886181,0.00096414,-0.991520109,0.019194826,-0.809446792,8.56E-07
MTSS1,-0.013522961,0.796038803,-0.934154784,1.68E-07,-0.268133056,0.029037622,-1.301812612,0.019194826,-0.788792843,3.36E-05
ANXA3,0.343485351,0.000214154,0.004180239,0.990037158,0.296139136,0.001606029,2.016040921,0.019471188,-0.067682766,0.659959555
MCM10,0.015981231,0.800962602,0.05432541,0.801005008,-0.003938326,0.980425251,3.56560406,0.019471188,0.260758543,0.027429763
APOC2,0.270213353,0.025468019,1.613876382,0.00017071,0.107331347,0.628053941,4.169087385,0.019690295,-0.150280947,0.130750496
OLFR110,-0.004462793,0.951601975,0.747027745,1.54E-06,0.103516396,0.670831348,2.339308463,0.019690295,-0.360672363,0.015975961
LRRC34,-0.1717012,0.126392115,0.016068486,0.902437609,0.004658701,0.979109989,-4.087939242,0.020133262,-0.01460924,0.945163258
NPL,-0.206949877,0.068810287,-0.15503844,0.311441674,0.046014065,0.850872473,2.36211072,0.020570351,0.623795046,1.59E-06
EIF2S1,0.040444278,0.568967134,0.132698108,0.200692373,0.022938872,0.846543839,2.481863802,0.020947084,0.149282954,0.122027549
CDH23,-0.111373085,0.655618111,-0.280960515,0.003156507,-0.030857291,0.943658572,-1.712330498,0.020992395,-0.151466602,0.428132999
KCNK12,-0.021017378,0.93295442,-0.827358225,1.34E-05,0.081133589,0.716596273,-5.116248186,0.020992395,-0.08742241,0.631547949
9630033F20RIK,-0.00821709,0.891929987,0.803651827,1.10E-06,0.076651529,0.436834501,1.829920268,0.021231122,-0.017673725,0.850770095
CCL5,0.187461093,0.115691438,0.481380306,0.320481594,3.081216119,8.08E-23,3.87133486,0.021431184,3.979583632,4.59E-09
CCL6,0.516010378,0.003272932,1.606034822,9.18E-07,-0.080282326,0.75088209,1.983016786,0.021897612,-0.327759042,0.045788887
SALL1,-0.074691463,0.772473657,-0.760192241,0.000405504,-0.35460999,0.002301552,-1.215586985,0.021897612,-1.66680614,4.39E-08
DPP4,0.518816126,0.06451202,0.020028725,0.936921515,-0.018651687,0.879429418,3.839390894,0.021979323,0.014070795,0.84756616
4931406P16RIK,-0.089373654,0.592409931,0.404975768,1.50E-05,-0.005374494,0.986914623,2.933466445,0.022058491,0.12445443,0.10711891
SCPEP1,0.136936182,0.342179464,0.425262898,0.028606272,0.40860122,0.001387133,1.772613068,0.022507394,-0.070650214,0.693040906
OLFR1167,0.009637061,0.866672559,0.038523632,0.716857003,0.001928703,0.984540308,5.659421237,0.022645623,-0.003989183,0.962894862
TOP2A,0.026596897,0.810673991,0.114444277,0.72542697,0.08796606,0.224808733,2.091868432,0.024190146,0.032376322,0.776875909
ACTN1,-0.122231045,0.577990598,-0.32583778,0.004429044,-0.060171047,0.831696524,1.995087184,0.024547327,-0.035039673,0.922600095
SPN,0.14510845,0.481208841,-0.026292318,0.980358862,-0.087945599,0.805227403,2.046827158,0.024600608,-0.058465178,0.844720872
PCBD1,0.223717528,0.235072722,0.507774812,0.003528587,-0.010945732,0.986779705,-2.84487531,0.024778343,-0.187014782,0.395358813
KLF4,0.158155688,0.137141565,-0.367422085,0.05230102,0.379279974,0.56123287,-1.381033154,0.025116782,2.320623472,4.72E-07
SASH1,-0.021658052,0.909645001,-0.286006483,0.052303183,0.206538198,0.172526248,1.68677986,0.025856019,-0.056577674,0.837056147
RPL27,0.184765914,0.419646695,-0.009789217,0.954048798,0.466095785,0.00051441,1.53098291,0.026247749,0.12522819,0.556259356
ACOT3,0.001381676,0.977782942,-0.060318783,0.82996063,0.008441968,0.951649971,8.501880251,0.026646942,-0.016913325,0.851981154
OLFM4,-0.023198699,0.690888506,-0.118726945,0.606047218,0.119229458,0.216827508,3.314335088,0.026753882,0.18434263,0.191802658
DAB1,0.005746843,0.975472536,0.067821874,0.778589213,-0.157377618,0.538654092,3.335467729,0.026806543,0.044220662,0.812051001
NUSAP1,0.266593024,0.097893581,0.11489809,0.73746501,0.047903094,0.793616988,2.935783642,0.027059075,-0.169580938,0.031188839
TOMM7,-0.014291109,0.958465263,0.289862208,0.369019796,0.373501319,0.019497709,1.922385822,0.027059075,1.178932546,2.81E-08
WDR41,0.010491782,0.902121652,-0.346384878,0.034424563,0.089684641,0.636558298,3.079890981,0.027059075,0.011934064,0.922470826
ENPP2,1.150254591,0.198439635,0.159658067,0.727726787,0.034962909,0.962773832,-1.793762427,0.027374232,0.419539578,0.726143613
SLC45A3,-0.014008884,0.840881509,0.081321665,0.76265541,0.005690888,0.971586507,4.771843653,0.027374232,-0.052506059,0.3251937
UROC1,0.023261209,0.5420145,-0.077534945,0.426362188,-0.064895142,0.716547912,7.854015447,0.02790615,-0.156479657,0.082169492
NOTO,-0.019544506,0.918158636,0.028050389,0.781083382,0.018914242,0.882084833,6.738573131,0.028024085,-0.000402135,0.997157259
SDCBP,0.122666266,0.04673432,0.000157539,0.998894959,0.113816507,0.329379168,1.38275669,0.028180068,0.324605166,0.162947958
CCDC65,0.025780546,0.842235333,0.047536271,0.709860049,0.023325487,0.920768199,5.447902561,0.028321285,0.095543182,0.421645571
PSEN2,0.398628095,0.070431108,0.31921153,0.000925331,0.323915264,0.020521771,1.664350111,0.028573446,-0.021592054,0.908852332
PHLDA1,0.026749671,0.757535562,1.76018212,1.25E-06,0.053082235,0.640940341,2.045022762,0.028833842,0.073463857,0.328571927
GNPTAB,0.694087907,4.91E-10,1.117929366,2.02E-06,0.28701031,0.005524758,1.579808297,0.029297262,-0.073383786,0.462963099
GNG12,0.017367836,0.892149863,1.300278732,5.27E-09,0.107188586,0.311122781,1.583641836,0.029380672,-0.076792297,0.277266275
GARNL3,-0.254006981,0.298547598,-0.658928246,2.96E-05,-0.236673808,0.134019969,-1.466529405,0.02993405,-0.358240489,0.006003475
HIST1H1B,0.041044747,0.388460129,-0.332508924,0.672900495,0.166505351,0.038653417,6.309813643,0.02993405,0.082932608,0.53131911
HSPA1A,-0.105787621,0.428808399,-0.899644439,0.061053908,-0.032161428,0.843363335,-1.748660948,0.02993405,-0.319125442,0.397574214
RPL36A,0.338836622,0.002246002,0.306994824,0.017964512,0.660472466,3.33E-10,1.715758594,0.02993405,-0.014755652,0.899877578
ALDOA,0.304133907,0.192742356,0.783866496,1.66E-07,0.256184846,0.083988124,1.904656622,0.030262104,0.014301226,0.954262758
RPL30,0.06840582,0.856524385,-0.116120445,0.295036236,0.246703588,0.009944738,1.420429421,0.030262104,0.662542171,3.89E-07
ADIPOR1,0.073422555,0.517596528,0.313757951,0.040144429,0.388094993,0.010159007,1.530718432,0.030468294,-0.350963281,0.000401233
CHST8,0.173038926,0.393078848,-1.120874111,6.34E-06,-0.13700686,0.239039329,-2.534193605,0.030879567,-0.34722524,0.009343503
CDCA3,0.068793505,0.753113136,0.239523371,0.526413627,0.16383448,0.224808733,3.885068173,0.03120263,-0.054661846,0.651116394
ENPP1,0.182529089,0.097820659,0.783032798,9.19E-07,0.238626127,0.020117749,1.899673417,0.031338906,0.062527506,0.650402473
MDK,0.106165691,0.439070906,0.134206314,0.214304267,0.055081378,0.699000387,2.924368314,0.031338906,0.18252654,0.070354973
EIF4B,-0.036815819,0.811284074,0.638399758,0.000720718,0.177954557,0.44394549,4.709678176,0.031827506,0.294174563,0.046038889
RHOJ,0.182945574,0.34598974,-0.059811082,0.567358271,0.071954502,0.58344982,4.284508787,0.032353814,-0.061411614,0.670908817
AFAP1L1,-0.053558169,0.691316426,-0.566799138,0.001661632,-0.052338669,0.763892053,-1.524095652,0.032652844,0.339276272,0.000702818
NPNT,0.057764531,0.841532659,-0.103118578,0.535256911,0.480410526,0.000591574,1.584504633,0.032839432,-0.256577125,0.35521009
F11R,-0.401238126,0.000353959,-0.440532933,0.001633601,-0.236951429,0.110505331,-0.982486301,0.03310905,-0.747599025,7.59E-06
ADSSL1,0.837566119,1.93E-07,1.884529843,1.28E-09,0.298850817,0.001623339,3.319472596,0.03337509,-0.021603661,0.868809461
PTGFRN,0.00249468,0.964415099,0.30040509,0.066186443,0.043923051,0.693109841,2.038059643,0.033574735,0.073901365,0.532554118
BRF2,-0.043070582,0.758328916,-0.058071473,0.640474556,0.085179432,0.61117249,6.656321779,0.034232857,0.044686729,0.698369412
COX4I1,0.162365292,0.219327349,0.232018079,0.025456623,0.541872283,9.28E-05,1.639838089,0.034232857,-0.030393446,0.84756616
D430042O09RIK,-0.008753166,0.917525771,-0.091941292,0.816052751,0.007777396,0.968937839,2.634952661,0.034232857,0.013400325,0.877854415
FABP4,0.231453094,0.054825129,-0.087707915,0.515428594,-0.024984186,0.6846162,6.716021997,0.034343212,0.000539721,0.994355096
RPS14,0.147516772,0.315977433,-0.037328269,0.936921515,0.47139821,5.26E-05,1.525680721,0.03518657,0.054480332,0.50697183
ST3GAL6,-0.128516418,0.243109684,-0.356962937,0.122633038,-0.375798918,0.000864849,-1.226515596,0.035858973,-0.725726095,5.76E-08
CYB5R2,-0.00040615,0.991599813,-0.060032,0.603775693,0.00319693,0.975367218,5.180501363,0.036181441,0.024704124,0.671572177
BCS1L,-0.064948874,0.618949994,0.018167884,0.953879892,0.149465198,0.537327387,2.331603674,0.036273104,-0.150407899,0.122297722
UPK1B,0.405113998,0.028741256,-1.139321638,1.80E-08,-0.842537666,0.000101711,-2.853588118,0.037227951,-0.722192219,0.000108642
ABLIM1,-0.040331248,0.90421888,0.149139494,0.270010084,0.124332089,0.454580686,3.29952312,0.037381246,0.014199116,0.936375126
COL27A1,-0.097306086,0.131020825,-0.575355187,3.12E-05,-0.108847599,0.461612925,-1.183020359,0.037381246,-0.029111705,0.720060801
MYO10,0.016621793,0.809008365,0.040646244,0.682909149,-0.00483389,0.976429741,1.691369264,0.037381246,0.038156287,0.758109335
BRSK2,0.048507946,0.808714558,0.033139289,0.81276923,0.173314108,0.357722162,5.021408132,0.038563929,-0.014824777,0.946933498
FUNDC2,0.285677807,0.019735773,0.54304852,0.00086313,0.169978969,0.070397749,1.204397645,0.03889313,-0.115466746,0.187108283
SLCO2B1,-0.196549686,0.000354392,-0.709738284,0.010173779,-0.221328392,0.001462516,-1.088842029,0.039186644,-0.479439415,5.80E-05
B2M,0.25118432,1.44E-05,0.528738679,6.02E-05,0.283922712,3.97E-07,1.521571871,0.040003731,0.035202283,0.655694496
DGKA,-0.141798916,0.093509146,-0.08169922,0.650865074,-0.307334289,0.017904418,-1.49941805,0.040003731,0.895263403,6.02E-08
EPRS,0.052811723,0.759407873,0.428308062,0.018727337,0.244103553,0.022374353,1.518585345,0.040003731,0.845460049,4.95E-05
GALM,-0.080470146,0.404660644,-0.046371754,0.74434101,0.065682856,0.726821225,2.119071591,0.040003731,0.027959001,0.903710495
NRARP,-0.760026168,0.000138435,-0.090757008,0.296798683,-0.749221879,9.08E-05,-3.36740029,0.040003731,-0.569339722,0.000146248
RPS10,0.19639596,0.361724712,-0.175417918,0.35559835,0.656172586,5.68E-08,1.643443021,0.040003731,0.069917747,0.533538849
SKAP1,-0.061318053,0.126392115,0.570092496,0.051864198,-0.008556492,0.93829427,2.682867513,0.040003731,-0.053639574,0.387043652
MGAT3,0.054888867,0.667874944,-0.09196463,0.413422191,-0.084625569,0.652444871,4.503456811,0.040707488,-0.089135255,0.497580769
SNAP23,0.147746123,0.315184206,-0.329308637,0.301582925,0.101136212,0.208679039,1.263232417,0.040707488,0.371727319,0.000742109
EIF3F,0.46135015,0.000239738,0.16705726,0.056706865,0.575368912,2.31E-07,1.495843627,0.040837175,0.072533575,0.428507109
CCL3,2.28944425,4.15E-08,0.06153153,0.941902296,1.420134078,2.16E-10,1.476617428,0.040857602,1.640186915,0.002022378
RELN,0.030490987,0.818901465,-0.027134478,0.761355176,-0.41202079,0.300972181,-1.927856903,0.040857602,-0.092521535,0.867710188
RGS1,0.163954155,0.180351057,-0.652382378,6.74E-05,0.776418313,0.011030915,1.628157098,0.041032637,0.44532616,0.400746632
RPS26,0.264947595,0.015292824,-0.018565231,0.924011686,0.723291458,5.60E-09,1.336113884,0.041582673,0.250601727,0.038612028
MR1,0.036511158,0.892647115,0.474199114,0.000187093,0.121935924,0.602175412,1.643098569,0.041738832,-0.224187799,0.236515777
APOC4,-0.04968312,0.178706384,1.4783037,0.000203844,-0.00360628,0.986999615,5.936796297,0.041817442,-0.025242914,0.767146887
LY9,1.373811893,8.08E-11,1.118312684,1.93E-07,1.361745644,1.36E-09,1.758803853,0.041817442,0.330154731,0.118280825
PRKAB1,-0.325420993,0.011383772,-0.540878321,0.00353444,-0.356181475,0.003923798,-1.433522461,0.041873855,-0.216682777,0.164232459
RPL17,0.054876202,0.313787672,0.056670274,0.600613322,0.387253662,0.003013968,1.279816605,0.042100894,0.631573432,0.008106762
GSTO1,0.255676383,0.066477043,0.701609634,0.000442575,0.345241997,0.09608608,2.201321167,0.042516646,-0.036429048,0.780752787
SAMD10,-0.099123382,0.228114821,-0.183114505,0.512600584,0.039855912,0.780602356,3.490937362,0.042715897,0.007134492,0.944125114
EML1,0.015557189,0.77990085,0.164692597,0.476299503,-0.15256838,0.358788019,-2.220241117,0.043096178,-0.027110873,0.806048237
SLC39A14,0.025386539,0.777112024,0.3669187,0.003482856,0.092080191,0.541782198,2.648090649,0.043368404,0.221710217,0.068366586
INSIG2,-0.115276784,0.391480226,-0.040145313,0.868595618,-0.013610354,0.950991939,3.212956404,0.044111443,-0.153372385,0.35521009
ESCO2,0.015402067,0.916488498,0.002293889,0.991043539,0.225393631,0.034314973,3.416964201,0.044424478,0.040428572,0.58521313
DAP,0.245552756,0.056556557,0.326892511,0.002548317,0.203866327,0.411811919,1.592545767,0.04462518,0.161057288,0.427747122
GALNT9,-0.027055129,0.913396874,0.298939869,0.005746579,0.051336984,0.806367877,6.200585912,0.044845644,-0.071279916,0.393828112
XCL1,-0.019078432,0.793199554,0.27613379,0.266077895,0.0343167,0.612910409,4.212955946,0.044845644,-0.02002331,0.780753938
ZFP180,-0.009953017,0.861139129,-0.164261149,0.051663382,0.081710679,0.546888765,2.615216288,0.045090028,0.064878427,0.681168538
AIG1,0.050323865,0.246714156,0.652946426,9.93E-05,0.00534336,0.981549324,1.913884433,0.045183215,0.121288121,0.232269522
ID2,0.8854463,1.43E-07,-0.4938022,0.089019856,0.948266204,3.13E-06,1.569954438,0.046803041,3.306523777,3.55E-12
P2RY2,-0.019246997,0.885545118,-0.14808921,0.456188569,0.097517045,0.564403403,3.093472081,0.046803041,0.213396119,0.031666923
NCOA7,-0.004615273,0.947485723,0.02687309,0.880698417,0.049052832,0.730577056,1.867201676,0.047220243,0.014944525,0.816425979
NDC80,-0.028550329,0.945306593,0.081447958,0.590667436,0.013367883,0.96134942,2.934577214,0.047469137,-0.264506099,0.158484124
REM1,0.070666443,0.558540309,0.049775391,0.67845512,0.041273474,0.845219405,7.942031617,0.048075621,-0.047485921,0.743237944
TMEM42,0.19521714,0.035853174,0.575919069,2.66E-06,0.012757199,0.960382033,2.855073544,0.048232037,-0.124640781,0.211211655
CTSL,-0.036276619,0.661790821,0.944971241,6.27E-06,0.305939293,0.063826139,1.372555687,0.048961202,0.534585051,0.003956002
ST14,0.261831702,0.000214154,1.561313499,1.81E-08,0.623509463,0.000476987,2.216831847,0.048961202,0.182700778,0.045418467
COPS7B,-0.167324887,0.029807213,0.052278023,0.772814184,0.060678847,0.843363335,3.085218389,0.049395098,-0.149830933,0.641517145
GPR137B,0.016347362,0.928476417,0.026468975,0.901176763,0.165385272,0.426053481,1.44168016,0.049395098,-0.346135489,0.024466543
HSPB6,0.173857778,0.189819226,0.244641343,0.293726469,0.018237326,0.928203803,-2.360092756,0.049395098,-0.108005201,0.436984163
PLEKHA1,0.11765847,0.148563237,0.75765038,5.48E-06,0.320622693,0.009602967,1.347665279,0.049395098,-0.160555336,0.43908882
S100A1,0.101864979,0.181286282,0.700569737,0.000925331,0.025350543,0.761003826,2.451020866,0.049395098,0.111877617,0.237868615
ASF1B,-0.00530162,0.965761924,0.154406673,0.613665744,0.007682209,0.94606848,3.62227308,0.049414881,-0.079433754,0.249895536
B3GALT6,-0.035299552,0.853916233,-0.076352005,0.585590812,-0.12417183,0.568408187,3.417118984,0.049518698,-0.254835216,0.070317948
HOXD13,0.026982265,0.598223626,0.021325928,0.857209199,0.073085469,0.687293314,8.383672736,0.04991678,0.071765472,0.281764826
NOC4L,-0.015845454,0.948324249,0.173109918,0.023695646,0.03595,0.911664351,2.148747732,0.050349641,1.889924878,7.85E-11
ARRDC4,0.121911979,0.086960013,0.990939457,0.000194932,0.006946732,0.982389906,1.912102042,0.052168583,0.204093583,0.366925162
BC030307,-0.027849768,0.528017143,0.036584995,0.847935045,-0.014752214,0.882684573,2.659606804,0.052168583,-0.132827163,0.052258461
ITGB1BP1,-0.099168898,0.515116825,0.122798252,0.130457514,-0.023889884,0.925191648,2.272461283,0.052168583,-0.043974637,0.809657742
MED11,0.240999341,0.067835337,0.209805342,0.161649841,-0.018327509,0.972740026,1.931968742,0.052479516,0.091009833,0.755815395
LOXL3,0.001649114,0.986060008,-0.163647832,0.153749632,-0.132198113,0.429815363,1.701395942,0.052991491,-0.222912826,0.035988045
LAMP1,0.071567395,0.245887235,0.000348228,0.998527163,0.317336974,0.001483778,1.330913902,0.053785357,-0.267255375,0.006256051
CYP4F18,0.008608559,0.941938739,0.609504219,0.221489507,0.06179766,0.551567126,3.465264507,0.053957519,-0.024541141,0.733536389
NPM1,0.327458925,0.000123334,0.547694666,0.000161109,0.276638235,0.005591623,1.508870942,0.053957519,0.279491452,0.019307365
COX6A2,0.624536234,0.000132728,3.163010987,3.59E-09,0.439138748,6.21E-05,3.36392437,0.054409845,-0.066958475,0.420164236
TXNDC17,0.101448055,0.330977924,0.246985461,0.011468131,0.081869074,0.822300174,1.301872721,0.054409845,0.283262915,0.113301149
B9D1,0.001525149,0.983539387,0.434455617,0.001109261,-0.073036911,0.418151971,-4.225498361,0.054924242,-0.010384305,0.921053134
MIDN,0.026350455,0.790376754,0.09682266,0.566990546,-0.220024396,0.151321391,-1.359883204,0.057911879,1.981282667,9.17E-10
DIAP3,0.115800449,0.173597034,0.122450322,0.220131221,0.121628139,0.090521397,2.848194595,0.058058626,-0.067501679,0.496083688
HSPA12A,-0.049659985,0.586619467,0.111479836,0.460995508,0.072747152,0.859407051,1.282288836,0.058428069,-0.464999662,0.028830661
OPTN,0.887308842,3.66E-06,0.203746632,0.21845654,0.137720665,0.231863561,1.956235885,0.058453896,0.039328443,0.736668112
STARD8,-0.618812903,0.000199407,-0.516864232,0.000399589,-0.10440928,0.628096494,1.342883007,0.058812179,-1.264317496,5.62E-07
CAPNS1,-0.18845743,0.4705925,0.090230822,0.479725122,0.33222946,0.041775526,1.6105212,0.059109559,-0.092627844,0.647536845
HEXIM1,-0.086252767,0.308563711,0.257141816,0.389075463,-0.10215694,0.660712998,-1.100579276,0.059109559,0.138386694,0.287959701
JPH3,0.035147727,0.855224873,-0.357216571,0.211610269,-0.039021737,0.546973742,3.14346907,0.059137721,-0.09655144,0.212530523
TPD52,0.183720926,0.002388853,1.015627953,1.06E-06,0.508890816,1.96E-07,1.319811333,0.059291913,0.612567851,1.53E-06
ELOVL5,0.020806599,0.891929987,0.31967418,0.005453561,-0.064080299,0.733708269,1.50170582,0.059450683,0.97576926,3.63E-09
XPO1,-0.074478033,0.211947588,0.079475685,0.82996063,-0.030150994,0.806367877,1.218716067,0.06023118,0.119300456,0.180682232
VPS13C,0.065608135,0.4705925,0.632174697,1.20E-05,0.170786382,0.285833125,1.480040166,0.060492397,-0.681570262,0.000914372
MCOLN3,0.015706824,0.850431902,0.100425882,0.716505651,-0.009356617,0.92347511,4.338994023,0.06080063,-0.018198122,0.892015855
EGLN3,0.232821225,0.003788883,4.161716901,3.00E-09,0.134622479,0.163306274,2.347627816,0.061366994,-0.09828224,0.08095044
LRIG3,-0.06584134,0.545252755,-0.570931791,0.001011394,0.030569991,0.882084833,-2.000009189,0.061366994,-0.179995245,0.01382054
