ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0045408,regulation of interleukin-6 biosynthetic process,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Il1b,1,
GO:0050996,positive regulation of lipid catabolic process,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Il1b,1,
GO:0055069,zinc ion homeostasis,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Mt1,1,
GO:0060749,mammary gland alveolus development,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Id2,1,
GO:0061377,mammary gland lobule development,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Id2,1,
GO:0072606,interleukin-8 secretion,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Tlr2,1,
GO:0072677,eosinophil migration,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Ccl4,1,
GO:1901739,regulation of myoblast fusion,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Cxcl10,1,
GO:1902932,positive regulation of alcohol biosynthetic process,Jan-60,22/15833,0.080186267,0.169396416,0.117332281,Il1b,1,
GO:0042177,negative regulation of protein catabolic process,Feb-60,124/15833,0.080302379,0.169396416,0.117332281,Rpl23/Cst3,2,
GO:0050671,positive regulation of lymphocyte proliferation,Feb-60,124/15833,0.080302379,0.169396416,0.117332281,Cd74/Il1b,2,
GO:0006066,alcohol metabolic process,Mar-60,268/15833,0.081259609,0.171081205,0.11849925,Apoe/Apoc1/Il1b,3,
GO:0032943,mononuclear cell proliferation,Mar-60,268/15833,0.081259609,0.171081205,0.11849925,Cd74/Vsir/Il1b,3,
GO:0033135,regulation of peptidyl-serine phosphorylation,Feb-60,125/15833,0.081415385,0.171242106,0.118610697,Ppp1r15a/Hsp90aa1,2,
GO:0032946,positive regulation of mononuclear cell proliferation,Feb-60,126/15833,0.082533224,0.172633399,0.119574375,Cd74/Il1b,2,
GO:0048675,axon extension,Feb-60,126/15833,0.082533224,0.172633399,0.119574375,Apoe/Hsp90aa1,2,
GO:0000470,maturation of LSU-rRNA,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Rpl10a,1,
GO:0001829,trophectodermal cell differentiation,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Junb,1,
GO:0010829,negative regulation of glucose transmembrane transport,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Il1b,1,
GO:0010894,negative regulation of steroid biosynthetic process,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Apoe,1,
GO:0031100,animal organ regeneration,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Hmox1,1,
GO:0032703,negative regulation of interleukin-2 production,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Zfp36,1,
GO:0032891,negative regulation of organic acid transport,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Il1b,1,
GO:0033622,integrin activation,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,P2ry12,1,
GO:0033688,regulation of osteoblast proliferation,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Tmem119,1,
GO:0035455,response to interferon-alpha,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Axl,1,
GO:0035743,CD4-positive, alpha-beta T cell cytokine production,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Il1b,1
GO:0044788,modulation by host of viral process,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Apoe,1,
GO:0045939,negative regulation of steroid metabolic process,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Apoe,1,
GO:0045943,positive regulation of transcription by RNA polymerase I,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Ppp1r15a,1,
GO:0050995,negative regulation of lipid catabolic process,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Il1b,1,
GO:0060716,labyrinthine layer blood vessel development,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Junb,1,
GO:0071677,positive regulation of mononuclear cell migration,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Cxcl10,1,
GO:1903306,negative regulation of regulated secretory pathway,Jan-60,23/15833,0.083676801,0.172633399,0.119574375,Hmox1,1,
GO:0097193,intrinsic apoptotic signaling pathway,Mar-60,276/15833,0.086960927,0.175774763,0.121750238,Cd74/Ier3/Hmox1,3,
GO:0071236,cellular response to antibiotic,Feb-60,130/15833,0.087051893,0.175774763,0.121750238,Axl/Rpl23,2,
GO:1903364,positive regulation of cellular protein catabolic process,Feb-60,130/15833,0.087051893,0.175774763,0.121750238,Apoe/Hsp90aa1,2,
GO:0002052,positive regulation of neuroblast proliferation,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Cx3cr1,1,
GO:0019068,virion assembly,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Apoe,1,
GO:0021801,cerebral cortex radial glia guided migration,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,P2ry12,1,
GO:0022030,telencephalon glial cell migration,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,P2ry12,1,
GO:0030212,hyaluronan metabolic process,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Il1b,1,
GO:0032801,receptor catabolic process,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Apoe,1,
GO:0043921,modulation by host of viral transcription,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Ccl4,1,
GO:0045061,thymic T cell selection,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Cd74,1,
GO:0045780,positive regulation of bone resorption,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Spp1,1,
GO:0046685,response to arsenic-containing substance,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Hmox1,1,
GO:0046688,response to copper ion,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Mt1,1,
GO:0046852,positive regulation of bone remodeling,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Spp1,1,
GO:0051767,nitric-oxide synthase biosynthetic process,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Tlr2,1,
GO:0051769,regulation of nitric-oxide synthase biosynthetic process,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Tlr2,1,
GO:0052312,modulation of transcription in other organism involved in symbiotic interaction,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Ccl4,1,
GO:0052472,modulation by host of symbiont transcription,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Ccl4,1,
GO:1901798,positive regulation of signal transduction by p53 class mediator,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Rpl23,1,
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Hmox1,1,
GO:1903319,positive regulation of protein maturation,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Il1b,1,
GO:1905523,positive regulation of macrophage migration,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,P2ry12,1,
GO:2000637,positive regulation of gene silencing by miRNA,Jan-60,24/15833,0.087154308,0.175774763,0.121750238,Zfp36,1,
GO:0033674,positive regulation of kinase activity,Apr-60,444/15833,0.087438461,0.176183193,0.122033137,Cd74/Gadd45b/Il1b/Hsp90aa1,4,
GO:0070665,positive regulation of leukocyte proliferation,Feb-60,131/15833,0.088193137,0.17737259,0.122856972,Cd74/Il1b,2,
GO:0072331,signal transduction by p53 class mediator,Feb-60,131/15833,0.088193137,0.17737259,0.122856972,Cd74/Rpl23,2,
GO:0002221,pattern recognition receptor signaling pathway,Feb-60,132/15833,0.089338911,0.17940867,0.124267261,Nfkbia/Tlr2,2,
GO:0002831,regulation of response to biotic stimulus,Feb-60,133/15833,0.090489167,0.17940867,0.124267261,Tlr2/Il1b,2,
GO:0030856,regulation of epithelial cell differentiation,Feb-60,133/15833,0.090489167,0.17940867,0.124267261,Zfp36/Il1b,2,
GO:0031333,negative regulation of protein complex assembly,Feb-60,133/15833,0.090489167,0.17940867,0.124267261,Tlr2/Pmepa1,2,
GO:0001783,B cell apoptotic process,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Cd74,1,
GO:0002021,response to dietary excess,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Apoe,1,
GO:0002092,positive regulation of receptor internalization,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Cd63,1,
GO:0010893,positive regulation of steroid biosynthetic process,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Il1b,1,
GO:0034123,positive regulation of toll-like receptor signaling pathway,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Tlr2,1,
GO:0035640,exploration behavior,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Apoe,1,
GO:0036037,CD8-positive, alpha-beta T cell activation,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Vsir,1
GO:0045648,positive regulation of erythrocyte differentiation,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Id2,1,
GO:0048714,positive regulation of oligodendrocyte differentiation,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Tlr2,1,
GO:0060148,positive regulation of posttranscriptional gene silencing,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Zfp36,1,
GO:1902003,regulation of amyloid-beta formation,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Apoe,1,
GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Cd74,1,
GO:1903671,negative regulation of sprouting angiogenesis,Jan-60,25/15833,0.090618837,0.17940867,0.124267261,Klf2,1,
GO:0043087,regulation of GTPase activity,Mar-60,282/15833,0.091346596,0.180683735,0.125150433,Ccl3/Ccl4/Rgs1,3,
GO:0002758,innate immune response-activating signal transduction,Feb-60,134/15833,0.091643856,0.180940019,0.125327948,Nfkbia/Tlr2,2,
GO:0050864,regulation of B cell activation,Feb-60,134/15833,0.091643856,0.180940019,0.125327948,Cd74/Id2,2,
GO:0046330,positive regulation of JNK cascade,Feb-60,135/15833,0.092802928,0.183060986,0.126797034,Gadd45b/Il1b,2,
GO:0070661,leukocyte proliferation,Mar-60,285/15833,0.093573922,0.183714027,0.127249363,Cd74/Vsir/Il1b,3,
GO:0001906,cell killing,Feb-60,136/15833,0.093966336,0.183714027,0.127249363,H2-D1/H2-K1,2,
GO:0001935,endothelial cell proliferation,Feb-60,136/15833,0.093966336,0.183714027,0.127249363,Apoe/Hmox1,2,
GO:0007050,cell cycle arrest,Feb-60,136/15833,0.093966336,0.183714027,0.127249363,Rpl23/Id2,2,
GO:0048515,spermatid differentiation,Feb-60,136/15833,0.093966336,0.183714027,0.127249363,H3f3b/Tmem119,2,
GO:0010043,response to zinc ion,Jan-60,26/15833,0.094070436,0.183714027,0.127249363,Mt1,1,
GO:0045589,regulation of regulatory T cell differentiation,Jan-60,26/15833,0.094070436,0.183714027,0.127249363,Vsir,1,
GO:0090181,regulation of cholesterol metabolic process,Jan-60,26/15833,0.094070436,0.183714027,0.127249363,Apoe,1,
GO:0150077,regulation of neuroinflammatory response,Jan-60,26/15833,0.094070436,0.183714027,0.127249363,Cst7,1,
GO:1902745,positive regulation of lamellipodium organization,Jan-60,26/15833,0.094070436,0.183714027,0.127249363,Hsp90aa1,1,
GO:1903579,negative regulation of ATP metabolic process,Jan-60,26/15833,0.094070436,0.183714027,0.127249363,Ier3,1,
GO:0031214,biomineral tissue development,Feb-60,137/15833,0.095134031,0.185288121,0.128339658,Spp1/Tmem119,2,
GO:0050709,negative regulation of protein secretion,Feb-60,137/15833,0.095134031,0.185288121,0.128339658,Apoe/Il1b,2,
GO:1902904,negative regulation of supramolecular fiber organization,Feb-60,137/15833,0.095134031,0.185288121,0.128339658,Apoe/Tlr2,2,
GO:0032787,monocarboxylic acid metabolic process,Apr-60,459/15833,0.095916137,0.186642943,0.129278074,Cd74/Lpl/Ier3/Il1b,4,
GO:0006775,fat-soluble vitamin metabolic process,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Il1b,1,
GO:0006929,substrate-dependent cell migration,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,P2ry12,1,
GO:0010922,positive regulation of phosphatase activity,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Ppp1r15a,1,
GO:0030224,monocyte differentiation,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Cd74,1,
GO:0032673,regulation of interleukin-4 production,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Cd83,1,
GO:0032816,positive regulation of natural killer cell activation,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Axl,1,
GO:0033273,response to vitamin,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Spp1,1,
GO:0035094,response to nicotine,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Hmox1,1,
GO:0035335,peptidyl-tyrosine dephosphorylation,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Dusp1,1,
GO:0042168,heme metabolic process,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Hmox1,1,
GO:0044003,modification by symbiont of host morphology or physiology,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Tlr2,1,
GO:0055083,monovalent inorganic anion homeostasis,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Ckb,1,
GO:1900543,negative regulation of purine nucleotide metabolic process,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Ier3,1,
GO:1903131,mononuclear cell differentiation,Jan-60,27/15833,0.097509151,0.187377336,0.12978675,Cd74,1,
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,Mar-60,291/15833,0.098096186,0.188337695,0.130451942,Fos/Vsir/Pmepa1,3,
GO:0042552,myelination,Feb-60,140/15833,0.098662362,0.189256335,0.131088237,Cst7/Tlr2,2,
GO:0046486,glycerolipid metabolic process,Mar-60,293/15833,0.099623338,0.190589032,0.132011329,Apoe/Lpl/Apoc1,3,
GO:0045834,positive regulation of lipid metabolic process,Feb-60,141/15833,0.09984673,0.190589032,0.132011329,Apoe/Il1b,2,
GO:0007346,regulation of mitotic cell cycle,Apr-60,466/15833,0.1000025,0.190589032,0.132011329,Btg2/Ier3/Il1b/Id2,4,
GO:0002825,regulation of T-helper 1 type immune response,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Il1b,1,
GO:0010574,regulation of vascular endothelial growth factor production,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Il1b,1,
GO:0010591,regulation of lamellipodium assembly,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Hsp90aa1,1,
GO:0014047,glutamate secretion,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Il1b,1,
GO:0034508,centromere complex assembly,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,H3f3b,1,
GO:0042036,negative regulation of cytokine biosynthetic process,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Zfp36,1,
GO:0043372,positive regulation of CD4-positive, alpha-beta T cell differentiation,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Cd83,1
GO:0045616,regulation of keratinocyte differentiation,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Zfp36,1,
GO:0045980,negative regulation of nucleotide metabolic process,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Ier3,1,
GO:0097242,amyloid-beta clearance,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Apoe,1,
GO:0097345,mitochondrial outer membrane permeabilization,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Ier3,1,
GO:1900027,regulation of ruffle assembly,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,P2ry12,1,
GO:2000191,regulation of fatty acid transport,Jan-60,28/15833,0.100935031,0.190589032,0.132011329,Il1b,1,
GO:0007272,ensheathment of neurons,Feb-60,142/15833,0.101035149,0.190589032,0.132011329,Cst7/Tlr2,2,
GO:0008366,axon ensheathment,Feb-60,142/15833,0.101035149,0.190589032,0.132011329,Cst7/Tlr2,2,
GO:0050777,negative regulation of immune response,Feb-60,142/15833,0.101035149,0.190589032,0.132011329,Vsir/Hmox1,2,
GO:0034614,cellular response to reactive oxygen species,Feb-60,143/15833,0.102227573,0.192669959,0.133452681,Fos/Axl,2,
GO:0006457,protein folding,Feb-60,144/15833,0.103423955,0.193956284,0.134343653,Cd74/Hsp90aa1,2,
GO:0097237,cellular response to toxic substance,Feb-60,144/15833,0.103423955,0.193956284,0.134343653,Axl/Hmox1,2,
GO:0001958,endochondral ossification,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Tmem119,1,
GO:0002828,regulation of type 2 immune response,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Cd74,1,
GO:0032692,negative regulation of interleukin-1 production,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Cx3cr1,1,
GO:0033081,regulation of T cell differentiation in thymus,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Il1b,1,
GO:0034381,plasma lipoprotein particle clearance,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Apoe,1,
GO:0036075,replacement ossification,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Tmem119,1,
GO:0042026,protein refolding,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Hsp90aa1,1,
GO:0043537,negative regulation of blood vessel endothelial cell migration,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Apoe,1,
GO:0045066,regulatory T cell differentiation,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Vsir,1,
GO:0045662,negative regulation of myoblast differentiation,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Cxcl10,1,
GO:0046596,regulation of viral entry into host cell,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Cd74,1,
GO:0048535,lymph node development,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Id2,1,
GO:0061157,mRNA destabilization,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Zfp36,1,
GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,Jan-60,29/15833,0.104348121,0.193956284,0.134343653,Cd74,1,
GO:0006631,fatty acid metabolic process,Mar-60,300/15833,0.105044424,0.194914761,0.135007541,Cd74/Lpl/Il1b,3,
GO:0019216,regulation of lipid metabolic process,Mar-60,300/15833,0.105044424,0.194914761,0.135007541,Apoe/Il1b/Id2,3,
GO:0009266,response to temperature stimulus,Feb-60,146/15833,0.105828411,0.19603237,0.135781652,Hmox1/Hsp90aa1,2,
GO:0010594,regulation of endothelial cell migration,Feb-60,146/15833,0.105828411,0.19603237,0.135781652,Apoe/Hmox1,2,
GO:0002675,positive regulation of acute inflammatory response,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Il1b,1,
GO:0010573,vascular endothelial growth factor production,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Il1b,1,
GO:0010714,positive regulation of collagen metabolic process,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Vsir,1,
GO:0010837,regulation of keratinocyte proliferation,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Zfp36,1,
GO:0016242,negative regulation of macroautophagy,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Hmox1,1,
GO:0043114,regulation of vascular permeability,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Ccl4,1,
GO:0045577,regulation of B cell differentiation,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Id2,1,
GO:0045920,negative regulation of exocytosis,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Hmox1,1,
GO:0051085,chaperone cofactor-dependent protein refolding,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Cd74,1,
GO:1901797,negative regulation of signal transduction by p53 class mediator,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Cd74,1,
GO:1903792,negative regulation of anion transport,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Il1b,1,
GO:2000515,negative regulation of CD4-positive, alpha-beta T cell activation,Jan-60,30/15833,0.10774847,0.197491212,0.136792118,Vsir,1
GO:0008610,lipid biosynthetic process,Apr-60,479/15833,0.107805676,0.197491212,0.136792118,Apoe/Cd74/Lpl/Il1b,4,
GO:0051147,regulation of muscle cell differentiation,Feb-60,148/15833,0.108248154,0.198133602,0.137237069,Tmem119/Cxcl10,2,
GO:0006417,regulation of translation,Mar-60,305/15833,0.108987584,0.199317972,0.138057422,Btg2/Ppp1r15a/Zfp36,3,
GO:0007612,learning,Feb-60,149/15833,0.109463646,0.200019093,0.138543052,Btg2/Tlr2,2,
GO:0045862,positive regulation of proteolysis,Mar-60,307/15833,0.110581058,0.200193452,0.138663822,Apoe/Vsir/Il1b,3,
GO:0001890,placenta development,Feb-60,150/15833,0.110682825,0.200193452,0.138663822,Junb/Ctsb,2,
GO:0042594,response to starvation,Feb-60,150/15833,0.110682825,0.200193452,0.138663822,Atf3/Zfp36,2,
GO:0046631,alpha-beta T cell activation,Feb-60,150/15833,0.110682825,0.200193452,0.138663822,Cd83/Vsir,2,
GO:0002920,regulation of humoral immune response,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Il1b,1,
GO:0010543,regulation of platelet activation,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Apoe,1,
GO:0032735,positive regulation of interleukin-12 production,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Tlr2,1,
GO:0034205,amyloid-beta formation,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Apoe,1,
GO:0042311,vasodilation,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Apoe,1,
GO:0044818,mitotic G2/M transition checkpoint,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Ier3,1,
GO:0048566,embryonic digestive tract development,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Id2,1,
GO:0050779,RNA destabilization,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Zfp36,1,
GO:0060074,synapse maturation,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Cx3cr1,1,
GO:0071398,cellular response to fatty acid,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Lpl,1,
GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Ier3,1,
GO:1902991,regulation of amyloid precursor protein catabolic process,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Apoe,1,
GO:2000406,positive regulation of T cell migration,Jan-60,31/15833,0.111136124,0.200193452,0.138663822,Cxcl10,1,
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,Feb-60,151/15833,0.111905648,0.2014115,0.139507502,P2ry12/Cxcl10,2,
GO:0046890,regulation of lipid biosynthetic process,Feb-60,152/15833,0.11313207,0.203110655,0.14068442,Apoe/Il1b,2,
GO:0048660,regulation of smooth muscle cell proliferation,Feb-60,152/15833,0.11313207,0.203110655,0.14068442,Id2/Hmox1,2,
GO:0071229,cellular response to acid chemical,Feb-60,152/15833,0.11313207,0.203110655,0.14068442,Lpl/Klf2,2,
GO:0051346,negative regulation of hydrolase activity,Mar-60,311/15833,0.113795323,0.203219586,0.140759871,Cst7/Ppp1r15a/Cst3,3,
GO:0071897,DNA biosynthetic process,Feb-60,153/15833,0.114362048,0.203219586,0.140759871,Dusp1/Hsp90aa1,2,
GO:0002931,response to ischemia,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Cx3cr1,1,
GO:0019934,cGMP-mediated signaling,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Apoe,1,
GO:0031572,G2 DNA damage checkpoint,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Ier3,1,
GO:0032309,icosanoid secretion,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Il1b,1,
GO:0032728,positive regulation of interferon-beta production,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Tlr2,1,
GO:0033598,mammary gland epithelial cell proliferation,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Id2,1,
GO:0035308,negative regulation of protein dephosphorylation,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Ppp1r15a,1,
GO:0046164,alcohol catabolic process,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Apoe,1,
GO:0048147,negative regulation of fibroblast proliferation,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Fth1,1,
GO:0060142,regulation of syncytium formation by plasma membrane fusion,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Cxcl10,1,
GO:0060487,lung epithelial cell differentiation,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Klf2,1,
GO:1905953,negative regulation of lipid localization,Jan-60,32/15833,0.114511129,0.203219586,0.140759871,Nfkbia,1,
GO:0071695,anatomical structure maturation,Feb-60,154/15833,0.115595538,0.204975489,0.141976096,Cx3cr1/Klf2,2,
GO:0062012,regulation of small molecule metabolic process,Mar-60,314/15833,0.116229584,0.205930577,0.142637637,Apoe/Ier3/Il1b,3,
GO:0007179,transforming growth factor beta receptor signaling pathway,Feb-60,155/15833,0.116832497,0.206135399,0.142779507,Fos/Pmepa1,2,
GO:0051100,negative regulation of binding,Feb-60,155/15833,0.116832497,0.206135399,0.142779507,Id2/Hmox1,2,
GO:0031589,cell-substrate adhesion,Mar-60,316/15833,0.117863484,0.206135399,0.142779507,Spp1/Cd63/Axl,3,
GO:0000186,activation of MAPKK activity,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Gadd45b,1,
GO:0006356,regulation of transcription by RNA polymerase I,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Ppp1r15a,1,
GO:0006953,acute-phase response,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Il1b,1,
GO:0010955,negative regulation of protein processing,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Cst7,1,
GO:0019432,triglyceride biosynthetic process,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Lpl,1,
GO:0032633,interleukin-4 production,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Cd83,1,
GO:0034142,toll-like receptor 4 signaling pathway,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Nfkbia,1,
GO:0043330,response to exogenous dsRNA,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Nfkbia,1,
GO:0060479,lung cell differentiation,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Klf2,1,
GO:0060674,placenta blood vessel development,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Junb,1,
GO:1902686,mitochondrial outer membrane permeabilization involved in programmed cell death,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Ier3,1,
GO:1903318,negative regulation of protein maturation,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Cst7,1,
GO:1905898,positive regulation of response to endoplasmic reticulum stress,Jan-60,33/15833,0.117873532,0.206135399,0.142779507,Ppp1r15a,1,
GO:0042129,regulation of T cell proliferation,Feb-60,156/15833,0.118072883,0.206149904,0.142789553,Vsir/Il1b,2,
GO:0048659,smooth muscle cell proliferation,Feb-60,156/15833,0.118072883,0.206149904,0.142789553,Id2/Hmox1,2,
GO:0002218,activation of innate immune response,Feb-60,157/15833,0.119316652,0.208153061,0.144177038,Nfkbia/Tlr2,2,
GO:0001562,response to protozoan,Jan-60,34/15833,0.12122338,0.209280042,0.144957641,Ier3,1,
GO:0006778,porphyrin-containing compound metabolic process,Jan-60,34/15833,0.12122338,0.209280042,0.144957641,Hmox1,1,
GO:0030513,positive regulation of BMP signaling pathway,Jan-60,34/15833,0.12122338,0.209280042,0.144957641,Vsir,1,
GO:0042304,regulation of fatty acid biosynthetic process,Jan-60,34/15833,0.12122338,0.209280042,0.144957641,Il1b,1,
GO:0043304,regulation of mast cell degranulation,Jan-60,34/15833,0.12122338,0.209280042,0.144957641,Hmox1,1,
GO:0043516,regulation of DNA damage response, signal transduction by p53 class mediator,Jan-60,34/15833,0.12122338,0.209280042,0.144957641,Cd74,1
