	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Coro1a.2	3.07815269170005e-53	-0.28680050151596	0.451	0.647	5.93590965067437e-49	9	Coro1a
Ramp1	6.18211559472706e-53	0.320337605373946	0.401	0.234	1.19215917128717e-48	9	Ramp1
Siglech.3	4.00006895089856e-52	-0.319103254791229	0.612	0.751	7.71373296491279e-48	9	Siglech
Gng5.1	7.92291433642643e-51	0.278663078688611	0.751	0.594	1.52785480063647e-46	9	Gng5
Tcf4.1	6.78150601544851e-50	0.253349365849565	0.569	0.378	1.30774562001909e-45	9	Tcf4
Cd53.1	1.01381347521543e-49	-0.276319702620382	0.52	0.684	1.95503790560543e-45	9	Cd53
Hba-a1.8	6.24931224394089e-49	-2.22738424431589	0.381	0.579	1.20511737312156e-44	9	Hba-a1
Irf8.1	8.04643661916814e-49	-0.301345951096218	0.546	0.698	1.55167483764039e-44	9	Irf8
Hba-a2.8	1.42013875807332e-48	-2.16251108138462	0.32	0.531	2.73859558106859e-44	9	Hba-a2
Cyth4.2	2.88755557737854e-48	-0.277856057412237	0.454	0.64	5.56836217541677e-44	9	Cyth4
Gm26917	1.55115563046319e-45	0.366765676037299	0.349	0.189	2.99124851778522e-41	9	Gm26917
Xist.2	4.01654317965476e-45	0.371090125438552	0.581	0.378	7.74550186764624e-41	9	Xist
Lair1.1	6.72893513036895e-45	-0.272939723365731	0.506	0.665	1.29760785054035e-40	9	Lair1
Rps11.3	1.52330759071037e-44	-0.26876191887933	0.922	0.9	2.93754635792587e-40	9	Rps11
Ctsc.1	5.3819791322734e-44	-0.272750235189354	0.454	0.64	1.0378608558676e-39	9	Ctsc
Mafb.3	5.23118588701115e-42	-0.356127565871917	0.626	0.767	1.00878188645123e-37	9	Mafb
Rps12.4	8.5714411885849e-41	-0.268625417474456	0.863	0.863	1.65291671880671e-36	9	Rps12
Itm2c.1	5.8179663036806e-40	0.307470473961892	0.805	0.69	1.12193662200177e-35	9	Itm2c
Sirpa.1	1.09603682726694e-39	-0.25585347578807	0.554	0.701	2.11359741770156e-35	9	Sirpa
Arl6ip1.1	1.13116909647687e-36	0.384113331810473	0.734	0.576	2.18134648564599e-32	9	Arl6ip1
Cd14.2	1.8448135804086e-34	-0.251083154179267	0.391	0.562	3.55753850845995e-30	9	Cd14
Hbb-bt.8	1.94700565253985e-34	-2.28183645551907	0.293	0.463	3.75460570035785e-30	9	Hbb-bt
Ctsl.3	2.11561848602026e-33	-0.255747315532493	0.807	0.853	4.07975868844147e-29	9	Ctsl
Tgfbr1.2	2.80652526949924e-33	-0.256067888239852	0.591	0.696	5.41210332970234e-29	9	Tgfbr1
Tmem176b.4	2.58195783431671e-31	-0.262850005310415	0.633	0.713	4.97904748769634e-27	9	Tmem176b
Lcp1.1	4.39087062517804e-31	-0.251876274334813	0.441	0.582	8.46735491359333e-27	9	Lcp1
Fcrls.4	1.3865133090383e-27	-0.34144741785626	0.621	0.694	2.67375226514945e-23	9	Fcrls
Ier5.4	1.16188273822434e-25	-0.31955502339067	0.509	0.622	2.24057467239182e-21	9	Ier5
Slc38a2.1	1.25800598803956e-25	0.251728916307364	0.416	0.285	2.42593874733549e-21	9	Slc38a2
Klf2.4	1.7062547865064e-25	-0.427761277296187	0.7	0.755	3.29034173029894e-21	9	Klf2
Bsg.1	3.01655099498436e-24	0.291094227415414	0.809	0.691	5.81711693872783e-20	9	Bsg
Fosb.3	1.22273087820369e-20	0.284646643695148	0.443	0.323	2.357914225528e-16	9	Fosb
H2-D1.5	3.85599685704898e-20	-0.255762663593489	0.604	0.664	7.43590433913326e-16	9	H2-D1
Hspa1a.4	4.47051300880947e-18	-0.495121371906173	0.845	0.83	8.62093728618818e-14	9	Hspa1a
Cebpd	1.8411445410811e-16	0.261129218697996	0.289	0.2	3.55046313302078e-12	9	Cebpd
Gm26825.3	1.60259009749985e-15	-0.342207643673103	0.252	0.358	3.09043474401871e-11	9	Gm26825
Ccl4.3	1.76205332609368e-14	-0.486875490377534	0.577	0.644	3.39794363403906e-10	9	Ccl4
Rgs2.3	3.16434025882128e-14	-0.254675518890707	0.542	0.632	6.10211375511096e-10	9	Rgs2
Jun.4	5.49733021751247e-14	-0.314669084395326	0.861	0.844	1.06010515914511e-09	9	Jun
Rgs1.5	2.56349343080239e-13	-0.363230447474494	0.418	0.499	4.94344073195934e-09	9	Rgs1
Sgk1.4	9.90786694221031e-13	-0.266948088678789	0.525	0.594	1.91063306113584e-08	9	Sgk1
Cd83.4	1.14199979473935e-12	-0.275723671448254	0.337	0.43	2.20223240417535e-08	9	Cd83
Atf3.5	5.49175277334013e-10	-0.388647743032191	0.639	0.657	1.05902960481091e-05	9	Atf3
Ccl3.4	1.44774285820796e-08	-0.353901375112172	0.455	0.507	0.000279182732776823	9	Ccl3
Ccrl2.4	6.07967261651221e-08	-0.263175535360334	0.265	0.329	0.00117240406736821	9	Ccrl2
Cd74.6	2.00301601952476e-06	-0.275341659951237	0.214	0.272	0.0386261609205154	9	Cd74
Ttr.4	2.42244774256881e-05	2.54869716357628	0.912	0.933	0.467144822676969	9	Ttr
Vtn	0	3.0183790604643	0.948	0.05	0	10	Vtn
Atp1a2.1	0	2.21036226772735	0.941	0.045	0	10	Atp1a2
Rgs5	0	2.11536481393416	0.952	0.021	0	10	Rgs5
Ptn.1	0	1.72625253444227	0.841	0.055	0	10	Ptn
Igfbp7	0	1.68003663620099	0.942	0.056	0	10	Igfbp7
Cald1.1	0	1.59775444095937	0.942	0.025	0	10	Cald1
Mgp	0	1.34988050918578	0.722	0.065	0	10	Mgp
Myl9	0	1.31616766714023	0.81	0.024	0	10	Myl9
Sparcl1.1	0	1.19238650733941	0.849	0.077	0	10	Sparcl1
Pdgfrb	0	1.12178710647821	0.845	0.008	0	10	Pdgfrb
Mfge8	0	1.04922231841209	0.82	0.081	0	10	Mfge8
Rgs4	0	1.02670406464838	0.731	0.007	0	10	Rgs4
Sept4	0	1.01919926712612	0.812	0.044	0	10	Sept4
Sod3	0	0.993832202956073	0.653	0.009	0	10	Sod3
Ndufa4l2	0	0.970509124868085	0.733	0.004	0	10	Ndufa4l2
Kcnj8	0	0.914941276298585	0.64	0.005	0	10	Kcnj8
Atp13a5	0	0.880523095017118	0.687	0.003	0	10	Atp13a5
Higd1b	0	0.870096589010342	0.671	0.004	0	10	Higd1b
Itga1	0	0.825556692851379	0.694	0.011	0	10	Itga1
Nbl1	0	0.783582679751081	0.694	0.038	0	10	Nbl1
Ebf1	0	0.776094124084721	0.699	0.029	0	10	Ebf1
Ifitm1	0	0.773397739107734	0.582	0.015	0	10	Ifitm1
Sept7.1	0	0.74425648400833	0.823	0.303	0	10	Sept7
Abcc9	0	0.736732951388813	0.594	0.003	0	10	Abcc9
Gng11	0	0.710785830824489	0.631	0.027	0	10	Gng11
P2ry14	0	0.686813158356306	0.571	0.012	0	10	P2ry14
Zbtb20.2	0	0.676796602487614	0.772	0.261	0	10	Zbtb20
Malat1.2	0	0.663744122877235	1	0.971	0	10	Malat1
Notch3	0	0.660074183771946	0.611	0.004	0	10	Notch3
Tm4sf1.1	0	0.657032284726166	0.595	0.039	0	10	Tm4sf1
Slc6a20a	0	0.656695613140463	0.565	0.005	0	10	Slc6a20a
Myo1b	0	0.655755677547304	0.66	0.095	0	10	Myo1b
Car4	0	0.643596310345182	0.462	0.012	0	10	Car4
Cspg4	0	0.634313748157026	0.568	0.004	0	10	Cspg4
Cox4i2	0	0.629807971747352	0.557	0.003	0	10	Cox4i2
Slc19a1	0	0.623960071341661	0.591	0.046	0	10	Slc19a1
Dlc1	0	0.614707826552672	0.594	0.023	0	10	Dlc1
Atp1b2.1	0	0.611888515431924	0.593	0.025	0	10	Atp1b2
Ifitm3.1	0	0.603799920596708	0.642	0.145	0	10	Ifitm3
Gucy1b1	0	0.602178593805389	0.548	0.003	0	10	Gucy1b1
Col4a1	0	0.600314318747803	0.566	0.014	0	10	Col4a1
Bgn	0	0.594264299116076	0.538	0.01	0	10	Bgn
Sptbn1.1	0	0.593494432675534	0.603	0.072	0	10	Sptbn1
Meg3.1	0	0.585726476981426	0.462	0.021	0	10	Meg3
Pitpnc1	0	0.565571069528373	0.604	0.142	0	10	Pitpnc1
Rarres2.1	0	0.555236712246503	0.59	0.048	0	10	Rarres2
Tpm2	0	0.554601163620998	0.286	0.018	0	10	Tpm2
Timp3.1	0	0.546451211926543	0.427	0.034	0	10	Timp3
Tpm1	0	0.53954678545606	0.398	0.052	0	10	Tpm1
Pth1r	0	0.534030987048492	0.495	0.004	0	10	Pth1r
Fry	0	0.526684250779392	0.556	0.079	0	10	Fry
Nr2f2	0	0.525825959247009	0.498	0.01	0	10	Nr2f2
Utrn	0	0.524270444527076	0.518	0.038	0	10	Utrn
Gucy1a1	0	0.521503994367925	0.476	0.003	0	10	Gucy1a1
Gjc1	0	0.518724967627112	0.469	0.005	0	10	Gjc1
Crip2.1	0	0.517354512715099	0.534	0.043	0	10	Crip2
Fermt2	0	0.515297155572499	0.509	0.019	0	10	Fermt2
Epas1	0	0.509790352819939	0.527	0.028	0	10	Epas1
Nedd4.1	0	0.504050265430458	0.505	0.031	0	10	Nedd4
Sdc2	0	0.495510614739669	0.48	0.012	0	10	Sdc2
Aspn	0	0.49265471498511	0.439	0.002	0	10	Aspn
Gja4	0	0.488179098672038	0.429	0.003	0	10	Gja4
Mylk	0	0.487104032123653	0.43	0.006	0	10	Mylk
Serpinh1.1	0	0.486596373733694	0.469	0.022	0	10	Serpinh1
Art3	0	0.482596553151162	0.43	0.006	0	10	Art3
Ifitm2.1	0	0.481850845536222	0.518	0.054	0	10	Ifitm2
Esam	0	0.477987893046431	0.474	0.016	0	10	Esam
Sept11	0	0.475539266584976	0.493	0.038	0	10	Sept11
Dmd	0	0.474533097319624	0.466	0.008	0	10	Dmd
Dtx3	0	0.467249065583582	0.549	0.106	0	10	Dtx3
Casq2	0	0.46577803478426	0.374	0.002	0	10	Casq2
Slc38a11	0	0.462673464910489	0.448	0.001	0	10	Slc38a11
Cp	0	0.458096747041253	0.433	0.013	0	10	Cp
Tnfaip1	0	0.449933290267319	0.491	0.084	0	10	Tnfaip1
Mprip	0	0.445348493086985	0.533	0.095	0	10	Mprip
Eva1b	0	0.436325171367461	0.477	0.08	0	10	Eva1b
Zic1	0	0.435936599810158	0.429	0.007	0	10	Zic1
Perp	0	0.431920718068043	0.418	0.022	0	10	Perp
Uchl1	0	0.429803714051189	0.352	0.01	0	10	Uchl1
Ggt5	0	0.424575436626948	0.473	0.074	0	10	Ggt5
Ctdspl	0	0.424079316063792	0.425	0.016	0	10	Ctdspl
Ppp1r14a	0	0.423966977541771	0.419	0.021	0	10	Ppp1r14a
Gper1	0	0.422534120656318	0.405	0.003	0	10	Gper1
Cd248	0	0.416324361098838	0.39	0.001	0	10	Cd248
Lamc1	0	0.406520621924045	0.406	0.015	0	10	Lamc1
Rasgrp2	0	0.405648226244662	0.407	0.023	0	10	Rasgrp2
Pdzd2	0	0.400999899864077	0.37	0.005	0	10	Pdzd2
Inpp4b	0	0.395365213974795	0.455	0.097	0	10	Inpp4b
Klf9.1	0	0.395099486646347	0.428	0.053	0	10	Klf9
Ace2	0	0.388613658169714	0.359	0.001	0	10	Ace2
Pde8b	0	0.387191525614806	0.403	0.033	0	10	Pde8b
Lhfp	0	0.383521721209451	0.384	0.005	0	10	Lhfp
Limd1	0	0.377644655802286	0.416	0.041	0	10	Limd1
Nid1	0	0.37443086961954	0.379	0.005	0	10	Nid1
Gpx8	0	0.373257948912369	0.373	0.011	0	10	Gpx8
Ecm2	0	0.37206300155909	0.359	0.004	0	10	Ecm2
Plce1	0	0.370236817086481	0.372	0.005	0	10	Plce1
Il34	0	0.369315993017744	0.368	0.002	0	10	Il34
Arhgap29	0	0.362284047791577	0.375	0.022	0	10	Arhgap29
Carmn	0	0.362278247551689	0.343	0	0	10	Carmn
Bcam	0	0.361374967591992	0.35	0.008	0	10	Bcam
Tbx3os1	0	0.3607128710541	0.34	0.001	0	10	Tbx3os1
Col4a2	0	0.35961157312021	0.349	0.009	0	10	Col4a2
Snrk	0	0.356722821112577	0.446	0.092	0	10	Snrk
Lamb2	0	0.354355034548297	0.369	0.03	0	10	Lamb2
Selenom.1	0	0.350329942884374	0.415	0.064	0	10	Selenom
Phldb2	0	0.345961293257169	0.354	0.003	0	10	Phldb2
Vcl	0	0.344824455570467	0.356	0.022	0	10	Vcl
Tns2	0	0.336009017409604	0.336	0.006	0	10	Tns2
Foxd1	0	0.335724728524086	0.328	0.009	0	10	Foxd1
Slco3a1	0	0.334329714220781	0.337	0.007	0	10	Slco3a1
Atp2a3	0	0.326829726688741	0.336	0.009	0	10	Atp2a3
Plat	0	0.31985756156767	0.321	0.016	0	10	Plat
Ggt1	0	0.318656853284009	0.305	0.002	0	10	Ggt1
Ptprk	0	0.318463584575647	0.325	0.006	0	10	Ptprk
Dock6	0	0.314599367360194	0.33	0.01	0	10	Dock6
Ece1	0	0.313532310769797	0.315	0.026	0	10	Ece1
Rbms1	0	0.304515885963877	0.38	0.067	0	10	Rbms1
Oaz2	0	0.298728788157815	0.338	0.049	0	10	Oaz2
Slc22a8	0	0.29859662547173	0.286	0.007	0	10	Slc22a8
Ano1	0	0.294605507343857	0.29	0.001	0	10	Ano1
Sdc3	0	0.294047954118897	0.339	0.056	0	10	Sdc3
S1pr3	0	0.283930958826661	0.285	0.002	0	10	S1pr3
Tbx2	0	0.283482374202467	0.285	0.002	0	10	Tbx2
Mast4	0	0.276676881105995	0.33	0.05	0	10	Mast4
Pde5a	0	0.275875619185919	0.278	0.003	0	10	Pde5a
Mcam	0	0.272443646392523	0.269	0.004	0	10	Mcam
Akap12	0	0.270175412522264	0.27	0.014	0	10	Akap12
Itih5	0	0.269177362299518	0.271	0.015	0	10	Itih5
Lama2	0	0.2669225724217	0.272	0.004	0	10	Lama2
4930523C07Rik.1	0	0.266762024754182	0.288	0.028	0	10	4930523C07Rik
Enpep	0	0.266728634499509	0.265	0.001	0	10	Enpep
Klhl23	0	0.262562775643435	0.267	0.017	0	10	Klhl23
Eps8	0	0.261933769177427	0.282	0.027	0	10	Eps8
Slc30a10	0	0.259078798149247	0.26	0.002	0	10	Slc30a10
Ptk2	0	0.252729868943256	0.267	0.012	0	10	Ptk2
Slc9a3r2	0	0.251173483545664	0.28	0.029	0	10	Slc9a3r2
Itpr1	0	0.25068528153912	0.271	0.025	0	10	Itpr1
Notch1	3.25279186085215e-307	0.311669887219792	0.36	0.064	6.2726838244673e-303	10	Notch1
Rbpms	1.48261502811291e-299	0.464207567773252	0.595	0.167	2.85907482021294e-295	10	Rbpms
Tns1	2.20851259740569e-294	0.463287320489147	0.604	0.181	4.25889569283713e-290	10	Tns1
Dbp	5.14186552365434e-294	0.306467795705597	0.294	0.045	9.91557347581502e-290	10	Dbp
Lmna	1.27538073464027e-293	0.274393255763466	0.322	0.053	2.4594442086803e-289	10	Lmna
Colec12	6.70453990175006e-272	0.305750930277183	0.37	0.074	1.29290347465348e-267	10	Colec12
Wtip	4.65433752006116e-250	0.280400569148861	0.273	0.045	8.97542447368594e-246	10	Wtip
Tsc22d1.1	1.31656914845347e-242	0.402215055115675	0.529	0.153	2.53887194587767e-238	10	Tsc22d1
Cryab.1	1.14049442893756e-239	0.302218660549459	0.315	0.061	2.1993294567632e-235	10	Cryab
Gm13889	5.71367641347323e-218	0.435825757171066	0.497	0.142	1.10182535957418e-213	10	Gm13889
Tagln2.1	2.62391100086869e-212	0.393727806575727	0.523	0.168	5.05994997407518e-208	10	Tagln2
Cd151	1.09698227788406e-201	0.326075902398348	0.451	0.132	2.11542062467162e-197	10	Cd151
Itgb1	1.83651376990863e-199	0.44257333117243	0.677	0.291	3.5415331538918e-195	10	Itgb1
Crip1.1	2.19586207788018e-193	0.778637665121713	0.442	0.138	4.23450043098414e-189	10	Crip1
Flna	2.76293982527294e-188	0.305457182291028	0.305	0.069	5.32805315905633e-184	10	Flna
Actn4	2.43884445842055e-180	0.309479597930613	0.407	0.119	4.70306765361818e-176	10	Actn4
Phlda1	1.7187962981715e-179	0.352754983706193	0.403	0.113	3.31452678139392e-175	10	Phlda1
Aldh2.1	5.92316974431472e-170	0.31511044357412	0.474	0.16	1.14222405349365e-165	10	Aldh2
Lbh	7.89210121423247e-170	0.268882211668322	0.34	0.089	1.52191279815259e-165	10	Lbh
Pten	4.48854244290011e-165	0.37305331283815	0.593	0.249	8.65570524688857e-161	10	Pten
Map1lc3a.1	2.09130105620729e-164	0.379233242319984	0.618	0.269	4.03286495679014e-160	10	Map1lc3a
Apbb2	1.43599309969511e-163	0.276993116854769	0.388	0.115	2.76916909345205e-159	10	Apbb2
Laptm4a.2	4.98552151824147e-163	0.443704588533899	0.9	0.62	9.61407969577685e-159	10	Laptm4a
Slc12a2	1.1020366337141e-156	0.338048662430324	0.465	0.165	2.12516744445427e-152	10	Slc12a2
Adap2.1	1.36847051721871e-152	0.408291127626121	0.733	0.394	2.63895854540455e-148	10	Adap2
Myh9	3.30745533239995e-152	0.366095034512508	0.581	0.252	6.37809686300006e-148	10	Myh9
Cbfa2t3	4.24960526332534e-152	0.288150240050102	0.406	0.13	8.19493878979659e-148	10	Cbfa2t3
Eif4ebp2	3.07822068710853e-149	0.250820225577346	0.335	0.095	5.93604077302008e-145	10	Eif4ebp2
Nbeal1	1.29595080547786e-148	0.252237811824827	0.337	0.097	2.49911153328351e-144	10	Nbeal1
Aplp2.2	3.6505345281485e-146	0.383971597349288	0.696	0.34	7.03969078408157e-142	10	Aplp2
Axl.1	3.26707448951203e-141	0.28117735888307	0.439	0.151	6.300226445575e-137	10	Axl
Selenow.2	1.63768179559437e-139	0.313761252488353	0.48	0.185	3.15810557462417e-135	10	Selenow
Tcf4.2	1.3527394841264e-136	0.380061677589736	0.702	0.376	2.60862282118935e-132	10	Tcf4
Slc25a4.1	1.03409866899832e-135	0.352093002077671	0.607	0.284	1.99415587329635e-131	10	Slc25a4
Filip1l	2.22234762339948e-131	0.250693825049891	0.3	0.086	4.28557515696356e-127	10	Filip1l
Myl6.2	6.00730070559026e-131	0.58573621924374	0.824	0.551	1.15844786806603e-126	10	Myl6
Anxa5.1	2.66225116120436e-130	0.256441450277136	0.434	0.157	5.13388513926649e-126	10	Anxa5
mt-Atp6.4	5.73781401634205e-119	0.373708272815986	1	0.965	1.1064800549114e-114	10	mt-Atp6
Hspb1.5	3.37427299553643e-108	0.444418684343384	0.706	0.356	6.50694804459245e-104	10	Hspb1
mt-Cytb.3	7.96056260387965e-107	0.353310268313248	1	0.94	1.53511489253215e-102	10	mt-Cytb
App.1	1.00945275575061e-106	0.292494990610825	0.524	0.244	1.94662869418947e-102	10	App
Plxdc1	5.72041750394252e-106	0.250404657262797	0.391	0.151	1.10312531146028e-101	10	Plxdc1
Mxd4	3.07086543795781e-104	0.259408086235088	0.432	0.178	5.92185691055784e-100	10	Mxd4
Pid1	2.44417927182157e-101	0.311239553697993	0.552	0.275	4.71335530778072e-97	10	Pid1
Pnisr.1	1.96574944873411e-99	0.253817105949875	0.449	0.192	3.79075123693887e-95	10	Pnisr
C1qc.4	7.76155276201573e-98	-0.317947805975031	0.998	0.951	1.49673783462711e-93	10	C1qc
Ctss.5	5.94052406190775e-92	-0.314308455356611	0.999	0.954	1.14557066009829e-87	10	Ctss
C1qa.4	1.39929626112793e-90	-0.259563507312969	1	0.96	2.69840290995911e-86	10	C1qa
C1qb.4	1.69521435609725e-90	-0.312221654286	0.999	0.957	3.26905136429794e-86	10	C1qb
Atp5b.2	1.84990120298175e-85	0.309070480905574	0.737	0.486	3.56734947983001e-81	10	Atp5b
Son.1	5.49870175274639e-82	0.294473397796386	0.86	0.634	1.06036964599961e-77	10	Son
Hexb.4	3.86312354237233e-80	-0.258710341375491	1	0.963	7.44964743911081e-76	10	Hexb
Dynll1.2	1.06678131226242e-79	0.292588232311224	0.606	0.357	2.05718108256685e-75	10	Dynll1
Cox8a.2	5.07488678386219e-79	0.304069398732774	0.825	0.601	9.78641167399984e-75	10	Cox8a
Tyrobp.3	5.95165186365269e-78	-0.33866147183402	0.965	0.936	1.14771654538678e-73	10	Tyrobp
Aldoa.2	8.31623084920984e-77	0.280719669809484	0.669	0.42	1.60370195696163e-72	10	Aldoa
Rapgef5	1.23115057897323e-73	0.259490703291366	0.525	0.284	2.37415077649197e-69	10	Rapgef5
Cox6c.1	1.25029165782068e-70	0.265075364645341	0.655	0.412	2.41106243294139e-66	10	Cox6c
Lgmn.4	8.51230266816595e-65	-0.25752657946252	0.996	0.948	1.64151244652912e-60	10	Lgmn
mt-Co2.3	9.18669425482597e-64	0.257172389767067	1	0.958	1.77156212010064e-59	10	mt-Co2
Fcer1g.2	1.01295603433848e-60	-0.29516049478591	0.918	0.909	1.95338441661832e-56	10	Fcer1g
Gm42418.3	1.04332737619222e-59	0.489385819427119	0.932	0.829	2.01195251224908e-55	10	Gm42418
Calm1.3	1.89698755531867e-58	0.255121913969482	0.744	0.535	3.65815080167653e-54	10	Calm1
Trem2.3	7.25893591673261e-58	-0.271842392270374	0.968	0.932	1.39981320218272e-53	10	Trem2
mt-Nd3.2	1.55034966926757e-56	0.263387556713277	0.894	0.697	2.98969430221559e-52	10	mt-Nd3
Ctsd.5	1.48843827237749e-49	-0.272730327198975	1	0.967	2.87030436445275e-45	10	Ctsd
Ctsb.5	6.37072288991483e-35	-0.268586955175238	0.973	0.933	1.22853020209118e-30	10	Ctsb
Ftl1.6	2.88383995604152e-28	-0.258189451802068	0.986	0.989	5.56119697123046e-24	10	Ftl1
Hbb-bs.9	3.40863137937597e-23	-1.6572656697912	0.96	0.965	6.57320475198862e-19	10	Hbb-bs
Hba-a1.9	2.03732101732054e-15	-1.58888568415986	0.496	0.576	3.92876984980093e-11	10	Hba-a1
Hba-a2.9	3.61970816239302e-11	-1.55255824434433	0.469	0.528	6.9802452203587e-07	10	Hba-a2
Ttr.5	4.29076400544759e-11	-0.392132654420019	0.931	0.932	8.27430930810514e-07	10	Ttr
Hbb-bt.9	2.91989701619688e-10	-1.42969790598415	0.4	0.46	5.63072940603406e-06	10	Hbb-bt
Ccl4.4	5.66588815486278e-06	-0.291915453405217	0.613	0.643	0.109260987178374	10	Ccl4
Cd74.7	0	2.68460481853988	0.97	0.26	0	11	Cd74
Igkc	0	2.45924200057982	0.759	0.018	0	11	Igkc
H2-Aa	0	2.0326036356941	0.902	0.041	0	11	H2-Aa
H2-Eb1	0	1.80125533908168	0.866	0.027	0	11	H2-Eb1
H2-Ab1	0	1.76278352353298	0.913	0.102	0	11	H2-Ab1
Cd79a	0	1.383020353396	0.75	0.004	0	11	Cd79a
Ebf1.1	0	0.953953661843551	0.686	0.033	0	11	Ebf1
Iglc2	0	0.902769047175705	0.592	0.002	0	11	Iglc2
Cd79b	0	0.87802551326773	0.673	0.062	0	11	Cd79b
Ly6d	0	0.691922404305931	0.441	0.001	0	11	Ly6d
Tmsb10.1	0	0.627835911430954	0.712	0.191	0	11	Tmsb10
Ighd	0	0.548609136634629	0.464	0.016	0	11	Ighd
Iglc3	0	0.533593397698743	0.437	0.001	0	11	Iglc3
Fcmr	0	0.529106186498579	0.447	0.001	0	11	Fcmr
Gm8369	0	0.466746068546784	0.353	0.012	0	11	Gm8369
Ms4a1	0	0.463662650175625	0.378	0.001	0	11	Ms4a1
H2-DMb2	0	0.451207157568005	0.427	0.015	0	11	H2-DMb2
Ltb.1	0	0.442388718181128	0.42	0.038	0	11	Ltb
Ptprcap.1	0	0.427915780752665	0.411	0.02	0	11	Ptprcap
Ccr7	0	0.395402313738076	0.303	0.014	0	11	Ccr7
4930523C07Rik.2	0	0.354678363615854	0.342	0.028	0	11	4930523C07Rik
Napsa	0	0.350400683396128	0.339	0.005	0	11	Napsa
Fcer2a	0	0.347956527203922	0.3	0.001	0	11	Fcer2a
Cd69.1	0	0.318527326506964	0.261	0.027	0	11	Cd69
Mzb1	0	0.315646196787346	0.27	0.001	0	11	Mzb1
Siglecg	0	0.283699155030295	0.274	0.007	0	11	Siglecg
Cd55	0	0.280234960309371	0.265	0.006	0	11	Cd55
Ifi203.1	0	0.262596933293516	0.271	0.014	0	11	Ifi203
Ighm.1	9.65946928789334e-305	1.01289113400956	0.869	0.411	1.86273205747735e-300	11	Ighm
S100a10.2	1.02315793914653e-286	0.351493636402543	0.379	0.061	1.97305776985017e-282	11	S100a10
Rps24.3	3.70972626986485e-256	0.695540442940688	0.999	0.932	7.15383613880738e-252	11	Rps24
Rps20.3	8.21148167049257e-251	0.717655976732265	0.992	0.863	1.58350212533779e-246	11	Rps20
Rps19.3	3.69082906301264e-246	0.729361150286026	0.992	0.846	7.11739476511357e-242	11	Rps19
Cd24a.2	6.98852342447751e-245	0.354029595986637	0.324	0.051	1.34766685717624e-240	11	Cd24a
Bank1	2.41732187841752e-232	0.341042438073674	0.389	0.076	4.66156351034034e-228	11	Bank1
Rps16.3	7.51133392581733e-219	0.60754222830918	0.996	0.889	1.44848563425461e-214	11	Rps16
H2-Ob	2.00474335696626e-217	0.288934499949795	0.298	0.049	3.86594708957373e-213	11	H2-Ob
Rps27.2	1.01769210626037e-215	0.724459677452159	0.964	0.742	1.9625174577125e-211	11	Rps27
Rps15a.3	2.523807571032e-210	0.617733194490812	0.99	0.871	4.86691051997812e-206	11	Rps15a
Rpl12.3	2.86769980730954e-209	0.62413719548993	0.991	0.818	5.53007230841571e-205	11	Rpl12
Rpl18a.3	7.33338507619453e-205	0.560940382905985	0.997	0.916	1.41416997809335e-200	11	Rpl18a
Tpt1.3	2.05865672631203e-198	0.498714206193172	0.997	0.984	3.96991363102011e-194	11	Tpt1
Dusp2.1	5.64896732658068e-195	0.570010173154467	0.41	0.096	1.08934685925782e-190	11	Dusp2
H3f3a.1	2.18959996872603e-192	0.675021989806326	0.894	0.605	4.22242457969127e-188	11	H3f3a
Iqgap1.1	2.22446448617421e-188	0.326721141212779	0.408	0.096	4.28965731513834e-184	11	Iqgap1
Fau.5	8.7464488298616e-185	0.493092746629968	0.997	0.944	1.68666519235051e-180	11	Fau
Rpl13.3	1.91103298731456e-184	0.525967662452009	0.997	0.937	3.6852360127374e-180	11	Rpl13
Rps5.3	2.47286750216127e-182	0.58933283049387	0.981	0.835	4.76867769116779e-178	11	Rps5
Rpl19.3	2.9571698204635e-182	0.537759083833181	0.995	0.884	5.70260628178181e-178	11	Rpl19
Lsp1.1	1.81021000143685e-180	0.403147479619231	0.543	0.167	3.49080896677081e-176	11	Lsp1
Rpl32.4	7.39773922125337e-179	0.550185280515659	0.996	0.879	1.4265800314265e-174	11	Rpl32
Rpsa.3	1.72456019830858e-177	0.61446446707723	0.986	0.834	3.32564188641827e-173	11	Rpsa
Rps13.3	6.75773903030487e-176	0.550311315373585	0.992	0.851	1.30316239460399e-171	11	Rps13
Rpl17.3	9.607982825887e-170	0.55408779994998	0.987	0.825	1.85280340814405e-165	11	Rpl17
Ets1.1	1.36993621472531e-167	0.311747931301335	0.391	0.097	2.64178499647629e-163	11	Ets1
Rpl8.2	5.68227117068431e-163	0.523683295584735	0.981	0.829	1.09576917255476e-158	11	Rpl8
Foxp1	7.25110779326953e-160	0.435330621290471	0.567	0.205	1.3983036268541e-155	11	Foxp1
Rpl23.4	1.70614747974229e-158	0.482282509860668	0.999	0.912	3.29013479993502e-154	11	Rpl23
Rps7.3	5.02446899311294e-157	0.536000813560589	0.948	0.665	9.68918600631899e-153	11	Rps7
Rpl18.2	7.18363524290746e-157	0.483911508396374	0.991	0.831	1.38529222024228e-152	11	Rpl18
Rps14.3	1.41906616816823e-156	0.48105476410873	0.995	0.903	2.73652719869561e-152	11	Rps14
